stage,epidermis,eye,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,vasculature
 14-21,0.91,0,0.89,0,0,0.94,0,0,0,0
 24-34,0,0.71,0,0,1.65,1.31,0,0.7,0.81,0.84
 36-46,0,0.7,0,0,0,0,0,0,2.93,0
 48-58,0,0,0,0,0,2.97,0,0,0,0
 60-70,0,3.45,0,0,0,1.44,0,0,0,0
 72-82,0,2.11,0,0,0,0,0,0,0,0
 84-94,0,0,6.32,5.36,1.26,1.55,0,0.83,0,0
 96-106,0,7.1,2.6,0,0,0,2.56,1.73,0,0
108-118,0,12.81,0,0,0.5,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,11.17
