stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,34.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,10.76,0,0,0,0,5.95,0,0,0,0,0,0,0,0
 14-21,0,0,33.99,0,1.81,0,0,0,0,3.18,0,0,0,3.3,1.37,0,5.14,0.81,0,0,0,0,4.46,0,3.13,0,1.83,19.76,10.88,0,0,9.35
 24-34,0,0,15.72,0,0.61,0,0.72,0,0,0,0,0,0,14.15,0,0,31.57,17.51,0,0,0.98,0,1,0,0,0.65,0,2.63,14.29,0,0,0
 36-46,0,0,2.36,0,2.38,2.8,0.88,0,0,0,0.86,0,0,10.34,0,0,14.11,39.34,0,0,0,0,7.16,0,0,0,0,0,6.61,0,0,0
 48-58,0,0.54,0,0,5.02,10.26,0.89,2.19,0,0,0,0,0,20.56,0,0,4.74,71.6,0,0,0.43,0,0,0,0,0,0,0,12.92,0,0,0
 60-70,0,0,2.3,0,61.09,15.93,3.28,0,0,0,0,0,0,45.35,0,0,5.19,96.07,0,0,0,0,0.96,0,0,0,0,0,14.24,1.93,0,0
 72-82,0,0,2.05,0,69.89,2.3,9.18,1.13,0,0,0,0,0,42.91,0,1.46,2.43,79.01,0,0,1.07,0,0,0,0,0,0,0,14.65,0,0,0
 84-94,0,0,0,0,100.89,11.47,3.05,2.82,0,0,0,1.74,0,53.87,0,1.08,2.11,59.29,0,1.87,1.31,0,0,0,0,0,0,0,12.71,4.71,1.25,0
 96-106,0,0,0,0,115.83,6.52,3.66,2.96,0,0,0,5.73,1.26,40.7,0,0,5.74,85.92,0,0,0,0,0.95,0,0,0,0,0,8.22,2.8,0,0
108-118,0,0,0,1.08,95.43,6.46,1.99,2.35,0.74,0,0,2.34,0,21.45,0,0,6.24,57.5,0,0,0,0.89,0,0,0,0,0,0,6.64,2.14,0,0
120,0,0,2.07,0,137.26,0,2.48,0,0,0,0,0,0,64.4,0,0,6.58,76.78,0,0,0,6.29,0,0,0,0,0,0,0,12.35,19.69,0
