stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,332.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.62,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.76,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,19.25,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.21,0,21.24,0,0,38.84,0,0,0,0,0,4.6,0,0,0,0,0,5.32,0,0,0,0,0,718.15,15.31,0,0,128.38,0,0,0,6.85,0,5.26,10.41,0,0,0,0,0
 14-21,0,0,0,0.96,273.34,10.02,13.22,0,10.19,0,7.72,0.99,0,0,0,0,0,0,0,0,50.25,0,0,25.39,146.17,5.93,0,1.93,6.72,0,20.5,40.37,0,1.53,60.02,55.23,0,0,0.86,0,0
 24-34,0,0,0,1.54,202.79,2.56,23.67,0,69.95,25.94,11.48,0,0,4.84,0,0.62,0.83,0.65,0,0.7,302.22,1.93,0.89,119.93,461.11,7.8,0,10.02,0,0.99,42.03,0.97,0,0,33.98,83.28,0,0,22.54,0,4.71
 36-46,0,0,0,0,145.9,0,35.81,0,23.59,66.58,44.08,1.29,0,4.12,0,0.87,0,0,0,12.1,506.81,0.56,4.05,75.69,355.05,3.85,6.82,10.57,0,0,32.95,0,0.65,0,0,88.83,0,0,22.81,0,7.17
 48-58,0,1.29,0,0,123.92,0,51.76,0,42.28,98.57,64.97,1.25,0,9.87,1.24,0,0,1.26,0,12.22,867.88,0.52,6.1,50.14,273.35,7.15,0.89,9.2,0,0,17.19,0,0,0,0,54.01,0,0.89,1.99,2.18,0
 60-70,0,0,0,0,159.88,10.02,47.23,0,60.49,199.45,37.21,0.85,0,1.74,0.6,2.63,0.82,1.79,0,0,1385.95,0,37.08,28.94,209.95,0.68,2.68,35.89,0,0,17.35,0,0,0,0,33.21,0.84,3.46,8.69,7.51,1.61
 72-82,0,0,0,0,146.29,0.55,81.09,0,40.26,245.98,94.09,0.64,2.1,17.73,1.55,1.99,0,1.37,0,0,1841.34,2.7,20.59,32.85,229.19,0.73,0.58,19.37,0,8.32,9.04,4.38,1,0,0,12.33,3.4,24.94,9.88,20.53,0
 84-94,0.62,0,0,0,287.2,0,103.21,0,53.41,190.6,64.08,0.71,0.6,7.71,3.7,4.84,4.27,1.45,1.81,6.93,1695.12,1.52,26.19,55.79,134.13,0,2.87,27.77,0,4.06,8.09,0,0,0.63,0,21.27,3.91,25.67,7.65,16.58,0
 96-106,0,0,0,0,212.18,13.06,70.12,2.29,49.16,160.39,115.13,2.55,1.06,14.1,4.65,7.67,1.14,2.27,0,0,1493.95,2.87,13.81,26.12,159.34,0,7.82,30.53,0,6.42,18.19,0,0,0,0,20.28,8.22,7.41,17.86,16.27,0
108-118,0,0,1.77,0.74,319.54,2.45,97.46,0,62.61,145.27,114.41,2.88,0,6.59,3.12,10.04,5.83,0,0,0,1605.93,1.24,19.85,26.25,192.45,0,8.93,35.64,0,16.87,11.5,0,0.43,0,0,4.04,8.3,16.41,6.75,16.33,3.58
120,0,0,0,0,364.98,1.25,59.98,0,60.52,88.4,129.92,13.42,0,11.16,0,2.78,1.74,0,6.03,0,1394.16,0,25.03,16.4,226.97,0,1.88,32.57,0,7.43,11.11,0,0,0,0,15.2,2.61,2.93,44.48,21.04,0
