stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,0,0,0,0,0,0,0,8.82,4.52,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.61,0,0,5.31,0,0,0,0,0,0,0,17.09,0,0,0,0,0,0,0,0,0,75.33,38.2,0,0,122.13,0,0,0,17.62,0,0,0,0,0,0,0
 14-21,0,0,3.89,30.31,12.14,0,5.58,0,4.13,0,0,0,0,0,0,0,0,0,0,23.18,0,121.01,25.87,4.81,0,8.49,4.38,0,0,59.57,0,5.75,406.44,21.24,0,0,0,0
 24-34,0,0,0,10.85,1.38,0,4.09,0.93,20.66,4.99,0,0,0,0,0,0,0,0.74,0,38.68,0,49.18,63.2,6.25,0.75,2.94,0,0,0,0,0,0,44.56,5.77,0,0,2.43,0
 36-46,0,0,0,4.2,0,0,3.19,2.44,4.07,0,0,0,0,0,0,0,0,0.65,0,84.37,0.57,13.89,72.12,2.15,0.79,3.29,0,0,0,0,0,0,0,8.74,0,0,0,0
 48-58,0,0,0,9.55,0,0,7.25,0,2.67,3.15,2.57,0,0,0.67,0,0,0,0,0,154.58,1.35,32.65,39.44,0,1.76,5.79,0,0,0,0,0,0,0,1.7,0,0.84,5.06,0
 60-70,0,0,0,12.37,0,0,23.88,3.23,0.63,2.34,10.64,0,0,0,0,0,0,0,0,213.94,17.14,52.06,33.29,0,0,3.75,0,0,0,0,0,0,0,2.98,0,2.95,29.01,3.04
 72-82,0,0,0,3.44,0.77,0,20.16,0,0,15.52,11.76,0,0,0,0.53,0,0,0.56,4.47,421.64,8.54,77.2,30.77,0,0,13.3,0,0,1.16,0,0,0,0,4.03,0,2.75,98.48,12.48
 84-94,0,0,0,4.76,0,0,19.33,0,0,6.03,18.9,0,0,0,0,1.69,0,0,0,382.4,10.36,63.65,4.14,0,0,4.02,0,2.02,0,0,0,0,0,6.02,0,7.43,73.62,2.06
 96-106,0,0,0,4.86,7.51,10.6,13.76,0,0,6.33,13.4,0,0,0.61,5.27,0,1.47,0,0,307.8,1.42,44.46,13.53,0,0,6.16,0,1.28,0,0,0.61,0,0,1.93,0.72,2.15,92.11,5.04
108-118,3.95,0,0.49,3.15,0,0,24.77,0,0,5.3,24.76,0.6,0,0,0.92,1.09,1.44,1.02,0,398.54,2.5,38.5,71.57,0,0,6.3,0,1.31,0,0,0.97,0,0,3.34,4.79,0.57,132.91,4.46
120,0,0,0,5.34,0,0,20.54,0,0,3.26,3.95,9.32,0,0,5.33,1.4,0,0,0,371.59,3.2,33.99,13.56,0,0,6.74,0,0,0,0,0,0,0,0,0,6,154.58,23.65
