stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.18,216.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,368.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.72,4.63,16.31,0,0,13.14,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,130.65,11.55,0,0,97.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.19,24.59,0,0,36.45,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,435.93,11.32,0,0,173.6,0,0,0,42.81,0,0,0,0,0,0,0
 14-21,0,0,2.31,31.36,9.6,5.16,0,0,0,3.55,2.17,0,0,0,0,0,0,0,0,15.15,0,0,16.9,120.22,15.67,1.51,1.94,7.99,0,1.77,31.33,2.44,1.34,33.93,36.46,0,2.06,0,0
 24-34,0,0,0,8.59,2.67,7.29,0.68,0.68,0.83,7.75,0,0,1.17,0.61,1.44,0,0.97,0,1.6,15.92,1.69,0,10.17,108.85,1.53,2.38,0.95,0,0,9.92,0,1.97,8.94,4.39,18.26,0,5.23,0,6.28
 36-46,0,0,0,0.56,0.84,10.73,1.3,0,0,3.72,0,0,0.68,1.76,0,0,0.95,0,0,15.42,0,0.67,5.35,72.27,0.84,0.93,0,0,0,12.82,0,0,0,0,22.82,0,1.61,0,2.33
 48-58,0,0,0,15.48,1.5,13.15,0.38,0,0.81,3.16,0,0,0,0,0,0,0,0,0,24.53,0,0,0.54,28.34,0,0,0,0,0,8.51,0,0,1.01,0,5.62,0,3.4,0,0
 60-70,0,0,0,7.14,3.15,34.54,0,5.81,1.53,5.97,0,0,2.11,0,0,0,0,0,0,12.46,0,0.86,0,52.76,0,0,0,0,0,10.05,0,0,0,0,10.74,0,0,0,2.79
 72-82,0,0,0.56,0,6.79,15.7,0.75,0,0,13.83,0,0.65,0,0,0.65,0,0.92,0.8,0,18.33,1.09,0,2.56,34.31,0,1.1,0.51,0,0,4.32,0,0,0,0,4.79,0.78,2.64,2.35,0
 84-94,0,0,0,3.9,11.71,18.57,0,0,4.81,0.58,0,0,0,1.96,0,0,0.8,0,0,21.14,0,0,4.49,19.3,0,0,0,0,0.57,8.63,0,0,1.32,0,0,0,4.14,0,0
 96-106,0,0,0,2.87,44.4,13.32,0.57,0,1.31,6.92,0.7,0,1.64,0,0,0,0.59,0,0,17.54,0,0,1.56,28.3,0,3.19,1.77,0,0,11.43,0,1.62,0,0,2.11,2.03,2.48,0.68,0
108-118,0,0,0,9.61,19.54,12.93,0,1.57,0,18.51,1.69,0,0.56,0.7,0,0,4.3,0.51,0,23,2.31,0,1.39,45.84,0,5.31,0,0,0,11.81,0,0.42,0,0,0.95,0,4.21,0,0.63
120,0,0,0,11.34,7.42,4.3,0,2.74,0,21.71,4.59,0,0,6.61,0,1.01,0,0,0,15.71,0,0,1.25,37.22,0,5.42,1.28,0,0,4.63,0,0,0,0,0,0,10.36,0,6.41
