stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.07,280.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.02,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.66,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.06,21.93,0,0,27.95,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,0,51.74,3.28,0,2.19,0,0.82,0,2.3,1.98,1.07,0,0.86,0,0,0,0,7.92,0,0,8.08,40.27,105.97,0,2.36,2.78,0,0,1.12,3.6,1.95,28.19,6.84,12.8,0,0,4.92,0,4.02
 24-34,0,0,0,0.76,63.77,0.87,0,10.48,1.7,6.86,0.68,8.36,0,4.88,0.69,1.29,11.54,5.84,0,0,39.16,0.88,0,40.25,80.37,27.72,2.24,1.63,0,0,0,0,0,2.15,38.14,12.64,21.42,0,0,18.53,0,34.16
 36-46,0,0,0,0.56,33.84,0,0,12.21,9.78,25.56,0.58,7.63,0,1.67,0,0,3.72,2.22,1.07,0,44,0,0.68,31.83,69.6,23.47,1.33,0.64,0,0,4.29,0,0,12.27,8.42,1.09,31.08,0,0,22.63,0,50.3
 48-58,0.58,0,0,0,13.83,0,0,15.24,9.04,8.51,4.45,13.91,0.51,2.27,0,0,1.33,4.03,0,12.16,64.01,3.48,0.39,26.87,45.26,25.49,0,5.06,0,0,2.9,0,0,5.07,2.5,0,14.35,0,0.84,12.05,0,63.03
 60-70,0,0,0,0,26.09,0,0,4.95,0,9.41,3.88,37.29,10.49,0.59,0,3.87,8.32,3.63,3.34,0,114.44,0,0.68,7.07,64.31,46.22,1.43,0,0,3.3,0,0,0,4.38,0.65,0,22.94,0,1.31,4.14,0,17.21
 72-82,0,0,1.48,0,19.02,0,0,23.05,2.01,11.84,5.21,51.41,13.99,5.83,0,4.65,1.89,12.17,9.85,12.09,145.78,0,7.05,4.44,54.09,18.25,0.53,4.8,0,0.71,3.72,0,0,25.57,0,0,7.68,0,6.99,30.65,2.37,36.87
 84-94,0,0,0,0,47.85,0.76,0.58,27.03,1.88,10.54,1.19,41.82,26.88,4.7,0,8.89,11.36,7.1,0,3.12,128.09,0,14.07,4.34,64.3,24.02,0,14.17,0,25.73,9.49,0,0,16.72,0,0,5.07,2.24,2.31,17.53,3.83,6.8
 96-106,0,0,0,0,39.01,0,0,17.52,0,17.18,2.55,52.48,28.96,4.04,0,1.46,0,5.5,3.15,9.73,71.83,0,9.32,10.55,73.63,16.29,2.7,4.95,0,10.51,5.17,0,0,5.94,1.28,0,20.93,0,3.38,14.29,4.99,15.72
108-118,0,0,0.58,0,49.78,0.66,1.87,31.92,0,15.34,2.45,41.98,46.86,4.35,0,13.07,6.83,6.2,4.96,2.07,122.26,0,5.31,13.5,51.06,40.72,2.2,16.38,0,8.97,4.06,0,0,5.97,2.81,0,3.38,0,15.28,20.6,4.93,19.6
120,0,0,0,0,64.35,0,0,19.41,1.24,4.25,1.44,60.02,38.35,0,0,6.75,5.27,0,4.74,1.51,64.03,1.16,0,17.12,33.11,58.33,0,1.34,0,0,5.44,0,0,16.84,1.22,0,7.55,2.37,23.43,21.09,7.18,15.33
