stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,9.89,152.91,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,174.7,0,0,0,0,0,0,0,7.71,7.5,7.22,0,0
  7-9,3.75,0,4.34,51.78,0,0,0,4.66,0,212.17,79.65,0,3.47,0
 10-12,0,0,5.32,3.61,0,0,0,10.42,0,137.81,102.73,0,0,0
 24-34,0,0,0,0,0,0,0.64,0,0,1.93,0,0,0,1.08
 36-46,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0
 60-70,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0
 84-94,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
120,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0
