stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,5.52,2.5,0,0,0,0,0,0,0,0,0,0,0,0.85,1.28,0,0,6.27,20.3,3.64,0,0,1.18,0,0,2.51,0,11.71,5.63,5.29,0,0,0,0,0
 24-34,0,0,1.48,9.33,0,0,0,16.39,0.87,6.33,0,1.49,0,0,1.67,27.07,11.33,0,0,7.37,127.93,0,0,0,0,0,15.92,0,1.45,10.07,0,35.96,0,0,2.12,0,0.81
 36-46,0,0,0,10.68,0,0,0,13.91,0,3.44,0,0,0,1.36,8.02,30.24,11.8,0,0.72,0.85,78.32,0,0,2.64,0,0,17.02,0,2.28,0.59,0,34.08,0,0,5.12,0,4.32
 48-58,0,0,0.53,11.43,0.7,0,0.55,23.82,0,0.5,0,0,0,0,0,5.37,15.77,0.42,0,3.88,65.17,0,0,1.22,0,0,16.07,0,0,0,0,25.93,0,0,2.99,0,0.88
 60-70,0,0,1.29,40.41,5.69,0.67,0,16.72,0,0,0,0,7.26,0,0,29.68,16.21,0.85,0,2.27,69.13,0,0,1.82,0,0.63,19.59,0,1.17,1.34,0,15.58,0,0,0.92,0,0
 72-82,0,0,5.11,21.07,0,0,0,92.81,0.67,0,2.22,0,0.89,0,0,0,36.86,0,1.07,3.16,62.6,0,0,0,1.13,0,10.74,0,0,0,0,0.85,0,0.75,1.27,2.88,0
 84-94,0,0,3.19,38,0.79,0,0,33.6,0,0,4.16,0.68,3.14,0,0,47.15,16.38,0.65,0,0.57,41.72,1.11,1,3.19,0,0,6.64,0,0,1.17,0,3.3,0,0,2.26,0,0
 96-106,0,0,3.8,15.12,0,1,1.24,33.21,0.9,0,0.71,0,1.46,0,0,1.63,21.93,0,0,0,41.62,0,0.93,2.06,0,0,15.38,0,0,0,0,7,0,0,2.32,0.74,1.05
108-118,0,0,8.33,44.65,0,0.95,0.8,61.9,1.23,0,4.12,0,4.74,0,0.48,21.39,24.6,0,0,1.03,43.74,1.54,1.23,0,0,0,5.87,0,0,0,0,2.71,0.42,0,3.24,0,0.91
120,0,0,7.68,10.47,0,1.11,0,31.74,0,0,0,0,0,0,0,11.42,41.11,0,12.11,0,85.4,0,0,0,0,0,22.06,0,0,0,0,0,0,2.41,5.28,6.37,0
