stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,50.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,67.51,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,5.11,0,0,0.92,0,0,0,0,36.73,0.88,0,0,17.21,0,0,0,2.02,0.92,0,0,24.31
 24-34,0,0,0,0,10.55,0,0,0,0,1.4,0,0,187.2,3.22,0,0.73,43.21,0,0,0.73,0,12.53,0,2.83,200.16
 36-46,0,0,0,0,1.57,0,0.56,0,0.73,10.46,0,0,341.03,2.16,0,0,22.47,0,0,0,0,0,0,12.96,212.08
 48-58,0,0,0,0,9.85,0,0.99,1.41,0,28.34,7.28,0,200.7,0.55,0,0,15.26,0,0,0,0,3.69,0,3.58,367.56
 60-70,0,0.68,0,0,1.62,0,0.79,3.09,0,66.02,0,0,124.4,3.02,0,0.83,5.13,0,0,1.31,0,0.85,0,7.68,455.32
 72-82,0,0,0,0,22.75,0,3.12,12.18,0.55,63.65,0,0,45.49,2.22,0,0,5.77,0,1.21,1.39,0,0,0.49,12.87,324.24
 84-94,0,0,0,0,13.21,0,5.16,5.05,1.52,82.07,0,0,189.38,8.15,2.7,0,3.01,0,0,0.55,0,0,1.05,0.7,270.37
 96-106,0,0,0,0,8.04,1.22,2.74,9.03,2,59.44,0,0,63.57,18.62,0,0,17.52,0.85,0,0,0,0,0.8,2.68,272.98
108-118,0,0,0,0.5,23.65,0,1.58,6.59,1.71,69.71,0,4.69,93.07,12.33,0,0,6.14,0,1.14,0,0,0,0,0.76,212.76
120,0,0,0,0,0,0,0,11.34,4.01,86.43,0,0,38.26,0,10.33,0,6.2,0,0,0,0,0,0,0,108.8
