stage,axial,blastomeres,eye,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,9.76,81.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,16.38,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.54,3.29,0,0
 10-12,0,4.58,19.14,0,0,0,0,189.99,0,43.25,0,18.92,0
 14-21,0,0,0,1.26,0,0,0,0,0,0,1.15,0,0
 24-34,0,0,0,0,0,0,0,3.29,1.56,0,3.56,0,1.49
 36-46,0,0,0,0,0,0,0,8.46,4.23,0,9.32,0,1.48
 48-58,0,0,0.62,0,0,0.37,0,9.45,0.39,0,2.45,0,4.06
 60-70,0,0,0,0,1.41,0,0,9.55,0,0,0.76,0,0
 72-82,0,0,0,2.44,3.16,0,0,1.27,1.49,0,0,0,0
 84-94,0,0,0,0,18.2,0,0,3.5,10.58,0,1.37,0,0
 96-106,0,0,0,0,11.36,0,0,1.06,23.48,0,10.11,0,0
108-118,0,0,0,0,17.53,2.31,1.64,0.69,18.93,0,2.48,0,0.7
120,0,0,0,0,10.81,0,0,14.25,36.98,0,2.58,0,0
