stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0.98,0,0,0,0,0.85,0,0,0,0,0
 24-34,0,0,3.85,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0.79,156.72,0,0,0,0,5.81,23.27,0,0,0,0
 36-46,0,0,0,0.7,1.64,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,0,535.72,0,0,1.22,0,0.89,44.65,0,1.67,0,0
 48-58,0,0,0,0,11.81,0,0,0,3.35,0,0,0,0,0,0,0,0,3.25,0,0,1,414.95,2.05,4.83,0,0,1.49,46.6,0,1.09,0,5.92
 60-70,0,0,5.8,0,114.25,1.94,2.79,0,16.2,0.85,0,1.03,0,0,0,8.73,0,18.27,0,0.64,2.81,1690.86,0,0,0,0,6.52,82.85,0,2.06,0,0
 72-82,0,1.32,4.4,5.18,397.21,0.9,0,1.31,18.36,0.67,0,0.55,0,0,0,2.49,0,41.46,0,0,0,1969.21,0,2.23,0,0,0,48.3,0,0,0,5.04
 84-94,0,0,11.37,19.98,459.61,3.54,0.62,1.31,33.59,0,3.68,0,1.54,1.63,0,0,10.63,19.54,0,2.23,3.83,2947.54,0,1.71,16.61,0,6.83,32.73,0,1.5,1.89,1.21
 96-106,0,0.83,22.5,9.34,665.02,1.15,2.43,0,46.7,5.92,0,0,0,0,0,49.47,0,45.27,0,0.88,1.81,2992.28,1.43,2.61,0,5.01,27.69,74.57,0.71,9.24,0,25.94
108-118,0,0.84,18.08,5.6,879.39,1.01,0.76,0,88.37,0.65,0,1.28,0,1.96,0,0,0.83,38.99,0,0,3.12,4170.51,0,4.12,2.99,2.27,6.83,62.91,1.74,3.37,2.47,0
120,0,14.01,72.27,6.29,911.83,0,4.95,0,59.59,4.52,0,27.88,0,0,2.6,24.87,0,66.88,1.49,18.76,3.67,7746.43,0,34.53,16.61,0,21.03,50.78,0,0,0,0
