stage,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,vasculature
 14-21,1.3,5.35,2.94,0,0,0,0,0,0,0,2.39,0,2.87,0,0,0,0,33.97,5.94,13.12
 24-34,0.86,0.86,4.46,0,0,0,0,0,0,0,0,2.33,3.57,0,0,0,0,7.47,1,45.62
 36-46,0,0,13.64,0,0,4.57,0.75,0,0,0,1.04,0,0,0,1.29,0,0,8.76,0,30.16
 48-58,0,0,0,0,0,0.75,0,0,0,0,1.37,0,0,0,0,0,4.21,2.54,0,4.38
 60-70,0,0,5.13,0,0,0,0,5.37,0,0,0,0,0,0.96,0,0,18.18,0,0,11.84
 72-82,0.81,0,4.28,0.51,0,0,0,11.72,0,0,0,0,0,0.88,0,0,7.57,0,0,20.97
 84-94,1.48,0,2.06,0,0,0,0,12.71,0,0,0,3.08,0.57,0,0,0,37.34,0,0,2.08
 96-106,4.39,0,7.45,0,0,0,0,98.44,0.63,2.11,1.12,0,0,6.05,0,0,31.98,0,0,18.63
108-118,4.34,0,6.31,0,0.62,0,0,71.3,0,0,0,0,0,4.89,0,0,12.52,0,0,8.64
120,0,0,0,0,0,0,0,76.21,0,0,0,0,0,8.66,0,1.02,6.83,0,0,4.28
