stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,0,0,0,0
  5-6,71.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1403.21,0.9,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0.64,0,0,6.15,0,0,6.04,0,0
 36-46,0,0,6.04,1.84,0,5313.48,0,0,0.77,1.11,0,4.57,0,0,0,3.71,0,0,14.91,15.48,0,0,0,98.6,0,0,0,16.41,0,4.82,0,0,27.15,0,0,1.37,0,2.85
 48-58,0,0,8.91,1.76,0,13169.73,1.54,3.9,2.8,49.7,0,0,0.4,3.94,5.54,9.75,0.42,0,14.36,49.88,0,10.23,11.59,401.77,0,2.93,1.73,0,0,15.31,0,0,58.6,0,0,11.63,0,16.39
 60-70,0,0,32.81,4.13,0,18606.6,6.18,4.8,1.38,45.93,5.56,0,2.4,6.29,0,8.93,0,0,6.98,106.79,2.44,6.41,7.41,471.62,4.69,3.37,3.64,0,2.16,26.57,0,0,78.98,0,0.8,10.68,0,28.71
 72-82,0,0,1.25,23.37,0,8839.96,11.03,8.66,8.01,18.15,4.74,0,1.95,0.98,2.91,4.71,0,6.63,4.28,139.64,7.77,0.67,7.22,570.07,8.83,9.4,3.34,0,1.77,23.1,2.8,8.69,41.25,3.7,7,14.94,1.74,43.9
 84-94,0,1.67,28.05,57.92,0,22217.03,0,2.08,3.91,43.91,0.57,0,0.78,5.03,17.9,7.78,3.49,9.85,20.51,146.45,3.55,5.64,12.25,584.16,0,0,2,0,0.91,128.73,1.46,6.67,51.79,2.24,10.8,15.53,0,55.38
 96-106,0,0,46.79,175.74,5.37,13702.73,2.91,21.03,18.98,82.27,3.73,0,3.84,3.58,6.9,3.8,2.79,39.29,0.75,249.77,6.67,15.1,19.73,722.37,0,11.61,4.07,0,0,117.16,3.93,27.88,91.68,5.69,8.33,47.82,8.85,39.18
108-118,0,0,14.12,17.91,0.61,13203,0,9.19,1.46,48.31,1.06,0,0,8.61,2.65,2.1,0,6.16,9.21,133.84,15.28,5.39,8.05,413.91,1.24,2.41,10.08,0,2.86,40.35,0,0,19.02,6.74,0.41,14.9,2.92,26.25
120,0,0,11.88,9.41,0,2532.4,6.5,0,0,14.87,0,0,0,6.76,0,0,0,1.23,0,108.28,0,0,4.4,167.01,0,0,10.3,0,0,7.34,2.78,0,20.49,3.15,7.67,18.94,2.7,0
