stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,347.13,4453.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.11,0,0,0,0,0,0,0,0,0,0,0
  5-6,174.21,2347.53,10.26,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,49.39,0,0,0,0,0,38.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.37,13.54,11.38,0,0,3.38,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,228.56,3.96,0,0,52.99,0,0,23.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,33.12,0,5.46,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.96,75.43,0,0,156.72,0,3.81,23.84,4.75,45.82,0,9.1,0,0,0,0,0,0
 14-21,0,0,2.37,35.45,35.82,4.95,0,0,0,3.2,1.05,0,0.97,0,0,0,0,0,0,17.04,0,0,13.21,197.68,6.73,1.79,2.8,1.83,0,4.33,0,29.65,1.99,24.87,36.28,46.95,0,0,3.37,0,0
 24-34,0,0,0,14.81,7.65,17.62,0,0.6,0.74,7.82,0.63,0,0,5.54,0,0.92,3.67,0.95,0,33.29,0,0,14.17,350.29,2.38,2.33,5.1,0,0.99,22.26,0,0,0,1.64,3.12,85.29,0,0,13.42,0,1.34
 36-46,0,0,0.63,13.63,4.01,33.69,3.52,1.15,0.6,21.43,0,0,0.79,0,0,7.84,2.02,0,1.45,39.05,0.56,4.9,10.22,240.73,0,1.58,0.72,0,0,21.5,0,0,0,0,0,65.06,0,0,8.33,0,5.08
 48-58,0,0,0,4.38,0,41.12,0.5,4,1.37,19.46,0,0,0,2.35,0,0.46,0,1.08,0.48,42.83,0,2,7.72,73.97,0,0,2.57,0,0,5.27,0,0,0,0,0,38.12,0,0,8.96,0,3.47
 60-70,0,0,2.79,5.6,0,29.12,0,0,1.86,13.65,0,0,0,9.53,0,1.33,2.13,1.7,7.36,62.56,0,2.23,9.54,37.46,0,0.9,1.79,0,1.19,10.9,0,0,0,0,0,19.54,0,0,8.65,0,0.69
 72-82,0,0,0,4.85,0,14.67,0.96,0,8.3,18.08,4.05,0,1.76,6.64,1.32,0.82,3.35,0.62,0,52.98,0,3.36,2.58,26.79,0,0.56,0.53,0,0,10.83,0,0,0,0,0,1.66,1.72,1.37,18.87,0.81,7.45
 84-94,0,0,0,19.2,11.98,13.66,0,4.35,3.89,16.25,5.53,0,0,9.57,3.18,6.34,6.52,1.92,2.58,43.44,0,5.58,10.36,29.94,0,0,3.97,0,1.49,18.02,0,0,0,0,0,4.37,6.9,1.81,8.69,0,3.6
 96-106,0,0,0,19.94,2.69,6.16,0,1.25,0,22.17,7.7,0,0,17.82,1.84,3.3,0,0,0,39.73,0,0,2.9,36.18,0,0.92,13.19,0,4.72,13.55,0,0,0,0,0,0,0,0,13.44,5.75,8.61
108-118,0,0,0,15.96,1.71,12.58,0.68,0.56,0,14.08,5.05,0,0,23.68,3.51,9.43,1.83,2.14,0.72,57.95,0.8,0,7.73,43.92,0,2.24,1.55,0,0,17.64,0,0,0.84,0,0,0,1.22,0.41,21.11,0,6.09
120,0,0,0,9.45,8,11.44,1.72,0,4.21,16.26,3.01,0,0,16.22,1.4,3.4,3.67,0,0,39.38,0,0,1.01,49.04,0,0,2.56,0,0,9.8,0,0,0,0,0,0,0,0,47.59,0,0
