stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,30.87,78.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.62,0,0,3.43,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,1.74,0,0
 24-34,0,0,5.52,0,0,3.84,0,0,0,0,0.96,0,0,0,0,4.31,0.72,0,0,1.69,0,0.63,5.94,0,0
 36-46,0,0,5.85,0,0.82,0,0,0,0,0,0,0.86,0,0,0,25.52,2.29,0,0,9.52,0,0,2.05,0,0
 48-58,0,0,0,0,6.47,3.45,7.78,0,0,0,0,0,0,0,0,14.85,0,0,0,0,0,0,6.62,0,0
 60-70,0,0,5.73,0,37.1,0,0,0.63,0,0,0,0,0.73,0.73,4.55,57.63,1.02,0,0,3.76,0,0,4.92,0,0
 72-82,0,0,0,0,35.19,4.54,0,6.7,0,0,0,0,4.88,0,0,15.59,0.93,0.53,0,1.76,0,0,3.85,0,0
 84-94,0,0,0.74,1.06,25.58,0,0,0,0,0,0,0,0,0,0,19.34,0,0,0,0,0,0,0,0,0.98
 96-106,0,0,0,0,12.61,0,0,0,0,0,0,0,0,0,0,22.4,0,0,0,1.56,0,0,0,0.61,0
108-118,0,0,0.68,0,19.06,0,0,0,0.42,2.79,1.43,0,4.92,0,0,13.2,0.47,0,0,5.4,0,0,0,0,0
120,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,66.37,0,0,0,1.94,0,0,0,0,0
