stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,somites,spinal.cord,vasculature
 14-21,0,1.93,0,0,0,0,0,0.94,0,0,0.99,0,0,0
 24-34,0,0,1.09,0,0,0,0,4.91,0,2.4,9.47,0.64,0,0
 36-46,0,0,0,1.05,0,0,0,1.54,0,1.27,0.92,0,0,0
 48-58,0,0,0,1.78,5.43,0,0,3.54,0,0.38,1.12,0,0,0
 60-70,0,0,0,4.07,0.67,0,0,3.39,0,1.15,5.92,0,2.49,0
 72-82,0,0,0,1.21,0,0,0,1.26,0,0,10.61,0,2.57,0
 84-94,0,0,0,2.63,0,0,1.49,1.93,0.76,0,1.84,0,0,0
 96-106,0.63,0,0,1.12,0,0.62,0,1.83,0,0,2.76,0,0,0
108-118,1.03,0,0,0,0,0,0,2.01,0,0,6.62,0,2.69,0.87
120,0,0,0,0,2.67,0,0,9.24,0,0,2.84,0,0,0
