stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,6.12,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,9.78,1.08,0,0,6.24,0,0.8,1.12,0,0,0,0,0
 24-34,0,0.81,0,0,2.12,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0.91,25.34,0,0,0,3.16,0,0,3.68,0,0,0,0,0
 36-46,0,3.27,0,0,4.95,0,0,0,0,0,0,0,0,0,0,3.74,0,0,1.15,33.24,1.77,9.22,0,11.59,0,0,17.91,0,0,2.37,0,0
 48-58,0,0,0,0,3.55,0,0,0,2.87,0,0,0,0,0,0,4.47,0,0,0.72,29.43,0,0,0.5,3.5,0,0,3.71,0,0,2.39,0,0
 60-70,0,4.23,0,0,13.93,0.83,0,0,5.6,1.45,0,0,0,0,0,14.05,11.08,0,0,78.85,0.68,0,0.89,2.4,0,0,9.2,0,0,0,0,2.83
 72-82,0,4.74,8.82,0,24.22,0,0,0.89,4.04,4.74,0,0,0,0,0,18.29,0.88,1.04,1.56,46.65,1.67,1.18,2,2.36,0,0,10.07,0.74,0.61,3.47,1.64,0
 84-94,0,8.77,9.04,1.09,12.55,0,0,0.59,7.51,0,0,0,0,0,1.05,11.53,0,1.23,0,36.5,0,1.84,0.55,10.31,0,0,0,0,0,0,0,0
 96-106,0,4.95,3.33,0,21.24,0,0,0,3.92,0.92,0,0.64,0,0.77,0,11.22,0,0,1.65,50.7,0,0,0,13.39,0,5.77,7.45,0,0,7.29,0,2.76
108-118,0,0.94,9.78,2.47,16.58,0,0.48,0,4.1,0,0,0,1.03,0,0,27.33,0,0,1.26,43.38,0.44,0,2.81,5.74,0,0,2.47,0.5,0,0,0.99,0
120,0,11.7,1.76,2.35,14.42,0,3.08,0,0,0,1.17,0,0,0,0,24.14,0,0,0,81.29,0,0,0,4.08,0,0,0,1.19,0,0,0,0
