stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,33.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,11.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.41,8.9,0,8.82,0,0,12.87,0,66.47,0,0,0,0,0
 14-21,0,0,0,6.05,0.97,1.19,0,0,0,0,2.78,0,0,0,0,5.31,0,0,10.28,27.47,2.81,3.93,1.66,0,4.09,0,6.22,0,1.61,12.45,16.35,0,0
 24-34,0,0,0,2.21,0,2.16,0,0.63,0,0,0,2.56,0.99,0,0,2.64,0,0.82,5.52,28.76,0.64,0,0,0,0,0,0,3.56,0,2.74,5.31,1.78,0
 36-46,0,1.17,0,0,0,1.76,4.05,0,5.64,0,0,0,22.3,1.46,0,12.91,0,2.33,1.21,21.06,1.04,0,0,0,0.77,0,0,5.56,0,0,5.45,0.92,0
 48-58,0,0,0,0,0,3.65,0,0,3.6,3.56,0,0,6.99,0,0,4.27,0,0.53,0,54.06,0,0,0,0,0,0,0,0.52,0,0,11.38,0.56,0
 60-70,0,0,0,2.95,1.86,17.27,0.58,0,2.38,1.79,0,0,9.92,0,1.56,9.09,0,1.11,0,44.67,0,1.49,0,0,4.87,0,0,0.64,0,0,11.65,0,0
 72-82,0,0.79,0,1.44,3.83,8.03,0,0,1.44,9.08,0,0,21.1,0,0,11,0,1.61,0,29.43,0,0,0,0.71,0,0,0,1.52,0,0,3.49,0,0
 84-94,0,0.85,0,0,0,2.09,0,0,0,4.13,0,0,22.81,0,0,7.85,0.86,0,0,31.54,0,0,0,0,2.05,0,0,0,0,0,12.27,3.13,0
 96-106,0,0,0,0,0,17.88,0,0,0.81,0,1.02,0,42.38,0,0,17.64,0,0,0.64,29.3,0,0,0,2.84,2.81,0,0,1.58,0,0,2.25,0.59,0.67
108-118,0,0,0,0.76,0.71,13.09,0,0,0,2.53,0.45,0,45.4,0,0,11.42,0,0,0,39.32,0,2.87,0,4.16,0.66,0,0,0.84,0,0,3.24,2.04,0
120,0,2.94,1.28,0,0,0,5.69,0,0,0,0,0,83.22,0,0,5.65,0,0,0,53.53,3.25,2.11,0,0,0,0,0,3.9,0,0,0,4.37,0
