stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.51,3.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0
 14-21,1.5,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.65,0,6.41,0,1.46,0.78,0,0,0,0,0
 36-46,0,0,0,1.17,0,2.33,0,0,0,0,0,0,5.72,0,0.67,0,1.33,0,0,5.47,0
 48-58,0,0,3.74,0,0,1.41,0,0.48,0,0.5,1.61,0,25.05,0,4.41,0,9.72,0,0,0,0
 60-70,0,0,2.58,0,0,0.72,0,0,0,0,7.46,0,12.07,0,11.08,0,0.9,0,0,0,0
 72-82,0,0,2.02,0,0,0,0,0,0,0,3.4,1.09,38.11,0,7.09,0,3.6,0,0,0,0
 84-94,0.66,0,0,0,0,0,0,0,0,0.67,6.32,0,2.48,0,26.95,0,0,0,0.88,0,0
 96-106,0.65,0,1.8,0,0,0,0,0,0,3.12,1.25,1.41,11.72,0,18.76,0,2.74,1.57,0,0,1.5
108-118,0,1.2,0,0,0.78,1.86,1,0,0,2.75,0,0,5.98,0,3.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.21,1.76,0,0,25.94,0,28.64,0,0,0,0,10.16,0
