stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,48.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,5.88,0,0,0,0,0
 10-12,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,24.08,0,0,4.79,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,12.09,0,0,1.28,0,5.47,0,0,0
 24-34,0,0,1.27,1.83,0,0,0,0,0,0.81,0.63,0,3.32,0,18.09,0,0,0,0.83,3.54,0,0,0
 36-46,0,0,0,2.25,0,0,0,0,0,0,0,0,0.61,0,7.3,2.33,0,0,4.34,2.4,0,1.01,0
 48-58,0,0,0,3.86,0,0.99,0,0,0,0,0,1.12,0,0.47,6.72,2.07,0,0,0,0.98,0,0,0
 60-70,0,0,0,3.36,4.61,0,0,0,0,0,0,0,0,0,1.27,2.35,0,0,0.62,0,0,0,0
 72-82,0,0,0.71,8.52,0,0.67,0.49,0,0,0,0,0,1.16,0,1.75,1.42,0,0,0,1.62,0,1.02,0
 84-94,0,0,1.13,3.84,0,1.07,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.2,1.18,0,0,0,1.06,0,0,0,2.35,0,0,0,0,0,0,6.06,0,0,0,0
108-118,0,0,0,0.68,0,1.8,1.68,0,0,0,0,0,0.6,0,0,0,0.44,0,1.52,0,0.58,0,0.63
120,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0
