stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.06,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,24.23,26.65,0,0,129.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.24,0,44.77,0,5.18,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,578.75,103.44,0,0,2003.28,0,0,17.57,95.4,0,72.97,5.88,0,0,0,0,0
 14-21,0,5.9,10.21,0,27.48,68.71,41.35,0,0,0,17.85,0.85,0.89,0,0,0,0,0,0,0,15.47,0,0,73.22,2119.79,57.03,13.89,1.05,30.35,0,0,2198.93,1.01,110.81,2226.3,2324.95,0,0,7.34,0,0
 24-34,0,0,6.46,0,13.21,12.55,247.34,0,2.53,3.47,62.15,1.08,1.82,0,0,12.24,0,0,0.96,0,40.54,0,0,82.17,7420.11,56.31,96.71,4.22,0,0,4.58,11.77,0,2.98,396.43,3145.74,0,0,55.56,0,2.13
 36-46,0,0,3.48,0,12.55,0,947.18,4.42,3.48,9.5,155.37,0,0,0.79,0,0,0,0,0,0,61.92,0,0,30.79,7330.93,67.5,40.5,0,0,0,3.31,0,0,0,0.83,3318.69,0,0,31.05,0,4.11
 48-58,0,0,0,0,20.31,2.14,1523.54,8.41,6.56,5.85,372.12,1.98,0,4.62,0,0,4.87,0,3.8,7.78,63,0,0,4.49,5457.28,33.08,14.32,2.19,0,0,2.41,0,0.38,1.93,0,2058.27,0,0,4.03,0,7.37
 60-70,0,0,1.64,0,9.17,0,1777.01,0,1.03,5.72,563.94,0,0,0,6.87,0,0,0,0,0,62.74,2.4,0.69,4.3,3144.3,17.83,3.95,0,0,0,5.95,0,1.35,0,0,922.38,0,0,0.9,0,0
 72-82,0,0,0.84,0,12.19,0,2654.09,0,1.69,4.36,879.09,0,0,0,2.44,0,0,0.6,0,0,96.24,0,1.17,1.75,2882.22,3.79,6.15,0.53,0,2.36,14.71,0,4.56,0,0,390.39,1.74,0,0,1.51,0
 84-94,0,0,0,0,23.1,0.69,1699.15,0,0.9,7.07,668.55,0,0,0,2.17,1.32,2.12,2.03,0,0,75.31,0,3.18,0.63,1999.97,11.47,3.31,0,0,0,12.76,0,0,0,0,305.6,0,0,1.18,0.63,0
 96-106,0,0,3.04,0,14.89,6.39,1481.71,0.87,0,3.69,656.73,0,0,0.96,0,0.86,0.81,0.75,8.04,0,114.75,0,1.42,2.75,1747.05,2.57,8.41,0,0,0,3.68,0,0,0,0,99.99,1.02,3.54,0,0,0
108-118,0,0,0,0,8.18,9.36,806.08,0,1.42,6.76,557.53,0.52,0,0,1.41,0,5.21,0,1.52,0,84.59,0,2.53,4.6,1937.86,3.96,2.69,2.34,0,0,1.65,0,0,0,0,20.57,3.42,0,1.68,1.9,0
120,2.39,0,0,0,45.89,0,600.68,0,0,10.19,557.37,0,0,1.15,0,0,3.57,4.26,0,0,112.87,0,2.33,6.15,1772.61,1.18,3,0,0,0,4.56,0,0,0,0,56.13,1.37,0,4.54,0,0
