stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0
 24-34,0,0,0.61,0,0,0,2,0,0,0,4.27,0,0,0,0,1.03
 36-46,0,0,0.65,0,0,0,0,0,0,1.27,10.06,0,0,0,2.27,0
 48-58,0,0,7.91,0.9,0,0,0,0,0.56,0,13.96,0,0,0,0.64,0
 60-70,0,0,0,0,0,0,1.7,0,0,0,15.31,0,0,0,3.54,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0.58,0.61,0
 84-94,0,0,2.52,0,0.59,0,1.99,0,0,0,1.72,0,0,1.23,7.48,0
 96-106,0,0,1.64,0,0,0.85,0,0,0,0,3.85,0,0,0,0,0
108-118,0,0.52,1.3,0,0,0,0,0.53,0,0,17.31,0,0,0,0,0
120,0,0,0,0,1.42,0,0,0,0,0,10.17,1.74,0,0,0,0
