stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,264.33,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0
  5-6,18.46,147.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.28,0,0,0,0,12.68,0,0,8.29,0,0,0,0
 10-12,0,0,0,0,7.15,0,0,0,0,49.08,0,0,28.95,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.53,1.34,6.07,1.61,0,0,0,0.91,0.93,2.06
 24-34,0,0,0,0,0.76,3.09,0,0.94,1.82,7.13,0,0,0,0.99,0,0,2.47
 36-46,0,0,0,0,0,0,0,2.63,0.55,4.14,0,2.74,0,0,0,0,0
 48-58,0,0,0,0.98,2.46,0,0,0.4,0,0.65,0,0,0,0,0,0,1.99
 60-70,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0.81,0,0,0
 72-82,0,0,0,0,2.01,0.87,0.65,0,0,6.34,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.57,0,1.16,0,0,0,0,0,0,0
 96-106,0,0,2.72,0,0,0,0,1.44,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0.57,1.65,0,0,0,0,0,2.14,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,2.32,0,0,0,1.09,0,0,0
