stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord
  3-4,31.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,1.45,1.78
 24-34,0,0,0,3.74,0.7,0,0,0.72,0,0.6,0,30.82,0,1.75,0,7.98
 36-46,0,0,0,3.01,0,1.83,0,0,0,0,1.5,34.1,0,0,0,4.39
 48-58,0,0,0,3.24,0,1.43,0.38,0,0,0.55,0,18.83,0,0,0,4.89
 60-70,0,0,0.66,17.84,0,1.24,0,0,0,17.59,0,21.92,0,0.66,0,5
 72-82,0,0.75,0,6.18,0,0.59,0,0,0,0.61,0,10.12,0,0,0,7.85
 84-94,0,0.68,0,0,0,0,0,0,0,0.75,0.93,13.5,4.09,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.37,0,5.33,0,0.65,0,0
108-118,0,0,0,0.97,0,0,0,0,0.69,0,0,2.36,0,0,0,0
120,0,0,0,7.34,0,7.91,0,0,0,0,4.91,0,0,0,0,0
