stage,blastomeres,epidermis,eye,glial,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,127.96,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0
  5-6,127.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,41.29,0,0,0,0,0
 10-12,0,0,18.8,0,0,0,0,0,0,0,13.38,0,8.35,0,0,0
 14-21,0,0,0,1.3,0,0,0,0,0,0.81,3.74,0,0,0,1.22,0
 24-34,0,0,0,0,0.95,0,0,0,0,0.77,11.97,0,0,1.29,3.06,0
 36-46,0,0,0,5.11,0,0,0,0.71,1.49,0,1.73,0,0,1.54,1.37,0
 48-58,0,1.25,0.81,9.26,0,0,0,0,1.28,1.08,6.67,0,0,2.2,0.48,0
 60-70,0,0,3.88,2.48,0,9.02,0,0,0,0,3.07,0,0,5.58,1.45,0
 72-82,0,0,11.23,3.58,0,33.31,0.68,0,0.63,0,18.14,0,0,2.12,0,0
 84-94,0,0,0,6.59,0,42.68,0,0,1.17,0,5.54,0,0,2.76,0.87,0
 96-106,0,0.94,1.44,0.68,0,64.8,0,0,2.83,0,13.78,0,0,2.25,0,0.74
108-118,0,0,4.23,1.96,0,42.52,0,0,4.14,0,1.25,4.75,0,5.36,0,2.52
120,0,0,0,5.16,0,60.41,0,0,0,5.02,5.22,0,0,0,0,0
