stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,48.23,0,0,0,0,0,20.05,0,0,0,0,0,0
 14-21,0,2.9,3.68,0,1.41,0,0,0,0.84,0,0,0,0,0,0,0,0,0,19.84,0,0,83.34,55,3065.28,0,1.09,4.12,0,1.79,37.49,0,2785.43,3379.71,27.36,0,0,0,0,14.19
 24-34,1.1,11.52,1.39,0,28.48,1358.07,0.66,3.93,8.63,0,0,1.18,0,2.05,0.83,0.6,7.94,3.12,20.61,1.84,0,378.49,443.65,600.02,2.19,0.95,0,0,45.47,3.11,0.91,1722.3,2277.66,62.94,0,0,21.45,0,6.31
 36-46,0,4.18,0,0,35.98,2313.58,0,0.58,4.36,1.23,0,0,11.77,0,0,0,6.31,0,22.62,0.6,0,207.66,263.88,596.02,6.23,1.22,0,0,34.42,0,0,1153.94,157.4,52.2,0,0,35.68,0,4.66
 48-58,0,3.57,0,0,103.2,1624.24,1.9,2,25.66,0,0,0.69,0,0,0,0,0,0,44.31,0,3.13,154.66,377.8,156.59,4.42,11.1,0,0,11.07,0,0.53,682.32,0,47.01,0,0,0,0,19.94
 60-70,0,8.86,0.59,0,96.67,976.7,0,8.1,41.79,0,0,0,6.27,0,5.65,0,7.32,0,14.5,1.83,0,166.78,176.53,328.86,0.58,0,2.43,0,3.72,0,0,392.83,0,16.48,0,0,0.87,0,10.37
 72-82,0,5.47,2.05,0,95.11,779.51,1.61,0,9.7,0.53,3.11,2.3,0.5,0,0,4.9,0,1.14,26.26,0,0,167.76,165.87,32.56,0.79,1.41,3.38,0,17.77,0,0,176.9,0,20.85,0,0,3.17,1.56,34.65
 84-94,0,14.57,11.65,0,101.73,1221.07,1.27,0,6.52,1.3,0,3.03,0,2.17,0,0.9,1.69,0,39.67,0,5.46,175.9,171.5,0,0.77,0,0,4.76,10.53,0,0,335.5,0,18.34,1.92,2.85,6.56,0.6,3.41
 96-106,0,7.58,64.13,0,177.24,1630.24,8.97,14.17,35.93,1.99,0,5.26,5.77,0.98,0.67,5.85,10.78,0,57.56,1.15,1.03,262.31,230.1,51.95,2.02,0.85,11.87,3.15,28.96,0,0,356.56,0,3.26,0,0.77,5.9,8.37,24.87
108-118,0,16.93,7.26,1.01,93.65,1420.43,1.04,0.84,28.64,0.6,0,6.14,5.15,1.4,7.04,5.18,15.35,1.72,65.1,3.12,1.5,291.58,180.13,101.47,0,1.04,0,0,10.66,0,0.84,260.2,0,2.47,3.19,0,5.25,4.13,0
120,0,5.83,7.18,0,116.97,1068.43,2.25,0,14.87,0,0,0,0,2.68,0,0,0,0,29.9,0,0,277.84,209.26,13.53,3.73,0,0,4.22,5.44,0,0,85.51,0,0,0,0,17.12,6.37,0
