stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,150.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,290.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.1,0,0,0,0,0,0,31.06,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,115.19,17.43,0,0,51.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,0,0,0,0,30.03,0,0,0,0,0,10.54,0,0,0,0,0,0,0,0,0,0,0,242.07,0,0,0,37.03,0,0,4.19,19.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,21.46,5.92,0,22.31,0,0,0,0,0.97,0.98,1.52,0,0,0,0,0,0,6.09,0,0,9.96,101.4,0.84,0,6.28,0,0,45.57,2.85,3.91,8.28,24.56,41.11,0,0,0.97,0,2.19
 24-34,0,0,2.7,0.79,6.73,0,0,8.26,0,0,0,3.6,0,1.28,4.09,0,0.67,0,0,0,8.75,14.15,0,0,7.04,286.94,1.29,1.07,0,0,0,108.35,0,0,0,3.58,74.26,0,0,1.26,0,5.4
 36-46,0,0,0,0,3.85,0,0,23.89,0,0,0,4.43,0,0,0,2.69,6.11,0.65,1,0,10.44,14.89,0,0,0,346.45,2.72,1.47,5.88,0,0,131.59,0,0,0.7,0,70.58,0,0,0.65,0,4.33
 48-58,0,0,0,0,8.52,0,0,109.8,0.81,0.62,0,25.7,0.46,0,0,8.07,0,3.43,0,4.89,2.23,21.14,0,0.44,2.43,506.6,0.62,0.86,0.38,0,0,41.04,0,0,2.73,0,94.44,0,0,6.9,0,8.58
 60-70,0,0,0,0,4.8,0,0,190.22,2.38,3.83,1.37,12.5,0,0,0,3.62,0,0,2.33,3.05,3.12,24.95,0,0,3.22,476.93,0,0,0.65,0,0,53.32,0,0,0.62,0,54.79,0,0.71,1.59,0,0
 72-82,0,0,0,0,1.31,11.12,0,205.63,0,1.4,0,19.53,1.15,0,7.45,1.64,0,10.62,0,1.17,0,23.94,0,1.12,2.45,508.14,1,2.73,2.25,0,0,40.4,0,1.66,0,0,35.09,0,0,3.88,0,2.27
 84-94,0,0,2.7,0,7.29,9.25,0,130.31,0,3.02,0,19.74,1.68,0,1.81,8.24,3.54,1.32,0,0,0.68,24.68,0.93,0.57,1.78,309.6,0.61,9.79,3.1,0,0,111.67,0,1.17,0,0,19,0,1.91,1.11,0,3.76
 96-106,0,0,0,0,7.54,14.88,0.59,133.09,0,2.77,0,12.51,2.68,0,0,10.08,0,0.91,7.18,0.84,0,13.07,0,1.32,6.71,223.32,0.98,0,0.78,0,0,97.51,0,0,0,0,5.73,1.17,0,0.64,0.81,9.88
108-118,0,0,0,0,7.57,13.01,2.73,128.81,2.66,1.21,1.69,28.88,0,0,0,6.13,2.57,16.46,0,4.69,0,23.06,6.69,1.72,1.38,322.63,5.81,1,0,0,0,72.37,0,0,0.89,0,7.4,0,0,0.78,1.72,9.93
120,0,0,0,0,6.42,0,0,168.98,0,7.39,1.6,36.72,4.01,0,1.15,20.09,2.02,4.1,0,0,0,11.79,0,0,0,392.3,10.25,11.19,2.34,0,2.03,32.05,0,0,0,0,38.72,0,0,7.25,0,0
