stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,131.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0
  5-6,253.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,96.24,4.58,0,0,24.57,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.85,14.65,0,0,18.48,0,0,0,0,0
 14-21,0,0,0,0,1.09,0,2.06,0,0,0,0,0,0,0,0,16.51,0,0,0,0,0,0.83,2.46,0,0
 24-34,0,0,0.59,0,1.47,0,0,0,0,0,0,0,1.41,0,2.66,47.59,0,0.95,0,0,0,0,2.54,0,0
 36-46,0,0,0,0,2.34,0,2.29,0,0,0,0,0,1.62,0,1.36,30.5,0,0.91,1.33,0,0,0,1.98,0,0
 48-58,0,0,3.37,0,9.22,0,1,0,0,0,0,0,1.64,0,0,14.39,0,0,2.29,0,0,0,0,0,0.39
 60-70,0,0,0,0,6.22,0,4.49,0,0.78,0,0,0,0.71,0,0.78,23.46,0,0,0,0,1.81,0,3.05,0.8,0
 72-82,0,0,0,0,8.84,0,3.29,0,0,0,0,0,2.16,0,0,8.94,0.66,0,1.39,0,0,0,0,1.45,0
 84-94,0,0,0.56,0.75,8.89,0,0,0,0,0,0.89,0,5.25,0,0,7.45,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.54,0,0.71,0,0,0.56,0,1.72,9,0,0,7.86,0,0,0,0,1.52,0,0,0,0.61
108-118,0,0,0,0,4.04,0.62,1.26,0,0,0,0,0,8.2,4.8,0,15.34,0,0,0.91,0,0,0,0,0,0
120,0,0,0,0,0,0,3.49,1.31,0,0,0,0,1.75,0,0,25.77,0,1.11,0,0,0,0,0,0,0
