stage,epidermis,eye,glial,mesenchyme,muscle,neural,spinal_cord,vasculature
 14-21,0,0,0,0,0.9,2.39,0,0
 24-34,0,0,0,1.36,1.63,7.1,8.05,0
 36-46,0,0.59,0,0,0,17.01,29.58,2.45
 48-58,0.41,0,0,0,0,40.72,23.51,0
 60-70,0,1.62,0.73,0,1.13,57.89,27.26,0
 72-82,0,2.16,0,0,0,65.42,16.24,0
 84-94,0,0,0,0,0,19.45,13.56,0
 96-106,0,0,0,0,0,21.38,5.72,0
108-118,0,0.5,1.43,0,0,25.93,0,0
120,0,0,2.56,0,0,15.41,15.77,0
