stage,blastomeres,endoderm,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,38.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,0,0,0,0,4.81,0,0,0,0,0,0,9.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,21.71,17.27,12.92,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,1.27,0
 36-46,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,6.2,0,0.38,0,0,5.96,0,0
 60-70,0,0.68,0,0,0,0,1.59,0,0,1.91,0,0,0,0,0,3.23,0,0
 72-82,0,0,0,0,0.98,0,0,0.54,0.63,0,0,1.63,0,0,0,3.51,1.77,0
 84-94,0,1,0,0.97,0,0,0,0,1.03,0,0,0,0,0,0,3.75,0,0
 96-106,0,0,0,0,0,0,0,0.61,0,0.94,0,0,0,0,0,9.03,0,0
108-118,0,0,1.49,0,0,0,0,0,2.08,0,0,0,1.51,0,0,3.09,0,1.27
120,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0
