stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.6,670.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.39,904.49,0,0,0,0,0,0,0,0,0,34.97,0,0,0,0,0,0,0,42.81,0,0,0,8.76,0,0,0,0,0,0,0
  7-9,33.11,8.38,28.32,0,0,0,36.92,0,0,0,0,21.76,0,0,0,0,0,0,0,304.41,23.36,0,112.05,0,0,0,0,0,0,0,0
 10-12,0,0,9.83,0,12.48,0,25.29,0,0,0,0,0,0,0,0,0,0,0,0,126.29,13.18,0,48.44,0,11.88,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,2.53,83.63,0,0.88,0,0,0.86,1.84,2.03,0,0,0
 24-34,0,0,0,1.3,0,0,48.32,0,0.86,1.62,0,0,1.59,0,0,0,0,1.63,0,22.99,48.46,5.43,0,0,0,0,0,9.45,0,0,0
 36-46,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,1.49,0,0,28.41,51.36,12.8,0,0,0,0,0,9.13,0,2.24,0
 48-58,0,0,0,1.36,0,0,36.46,0,0,0,0,3.8,13.08,0,0,0,0,2.63,0,34.98,29.98,3.6,0,0.92,0,0,0,0.86,0,0,0
 60-70,0,0,0,0,0,0,20.8,0,0,0,0,3.54,12.62,7.85,0,0,0,0,0,31.1,18.09,30.57,0,0,0,0,0,1.27,0,4.13,0
 72-82,0,0,0,0,0,0,14.76,0,0,2.93,0,0,16.46,3.79,2.6,0,0,0,0,18.44,2.64,38.34,0,0,0,0,0,5.39,1.46,1.01,0
 84-94,0,0,0,0.81,0,0,20.98,0,0,2.92,1.12,2.04,37.7,0,2.31,0,0,4.37,0,5.02,8.47,28.49,0,0,0,0,0,0,0,0,3.02
 96-106,0,0,0,0,0,0,6.32,1.15,0,9.49,0,0,15.44,0,3.21,11.56,0,0,0,29.47,7.59,34.53,0,0.81,0,0,0,2.29,1.21,1.93,0
108-118,0,0,0,0,0,0.49,11.54,0,0,14.75,0,0,10.68,1.3,4.91,0,0,8.46,0.53,29.27,6.5,50.68,0,0.65,0,0,0,3.77,1.53,4.25,2.52
120,0,0,0,1.34,0,0,6.77,0,0,23.48,0,0,39.54,0,2.89,0,0,4.34,0,133,14.54,112.66,0,1.66,0,0,0,0,3.74,0,0
