stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,122.66,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0
  5-6,0,103.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,0,0,0,0,0,15.05,14.11,0,3.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0
 24-34,0,0,0,0,1.29,0,0,0,1.47,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.56,0,0,0,2.98,0,0,0,0,0.88,0,0,0
 48-58,0,0,0,1.05,4.04,0,0,0,0.39,0,0,0,0,1.51,0,0,0
 60-70,0,0,0,0,8.44,0,0,0.63,1.48,0,0,0,0,0,0,1.93,0
 72-82,0,0,0,0,22.38,0,0,3.23,0,0,0,0,0,0,0.53,0,0
 84-94,0,0,0,0,6.69,0,0,3.02,0,0,0,0,0,0,1.17,0.59,0
 96-106,0,0,0,0,29.59,1.19,0,8.87,0,0,0,0,2.03,0,0.76,1.17,3.36
108-118,0,0,1.08,0,8.28,0,0,9.23,3.28,0,0,0,0,0,2.74,0,0
120,0,0,0,0,3.46,0,1.15,11.81,0,0,0,0,0,0,0,0,0
