stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,32.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,25.08,0,0,0,8.86,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,5.47,0,0,4.96,0,7.85,5.32,0,0,0
 14-21,0,2.71,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0.9,0,0,2.42,1.08,0,0,0
 24-34,0,0.6,13.13,0,0.93,0,0,0,0,1.46,1.6,0,0.6,0.61,0,0.84,26,0,3,0,0,0,0,0.78,0,2.67,0
 36-46,0,0,25.9,0,0.57,0,1.36,0,0,0,0,0,0.89,0.65,0,0,18.43,0,0,0,0,1.94,0,1.08,0,0,0
 48-58,0,0,35.91,0,1.78,0,2.84,1.4,0.78,0,0,0,2.09,1.21,0,0,14.48,0,4.09,0,0,0,0.37,5.11,0,0,0
 60-70,0,0,67.95,0,0,0,0,0,0,2.61,3.34,0,1.14,0,0,0,10.73,0,2.07,0,0,4.5,0,0,0,0,0
 72-82,0,1.05,60.16,0,0.77,0,1.93,0.72,0,0.6,0,0,5.23,0,0,0,15.61,0,9.77,0,0,5.32,0,0,0,7.44,0.51
 84-94,0,2.47,41.46,0,4.76,0.62,0.84,0.56,0.66,0.67,0,0,1.54,1.99,0,0,20.9,0,0.71,0,0,2.66,0,0,0,1.24,0
 96-106,0,2.82,41.67,0,0,0,0,3.64,0,1.83,6.95,0,0,7.16,0.88,0,7.6,0,7.77,0,0,2.84,0,0,5.51,2.31,0
108-118,0,0,75.53,1.13,0,0,1.36,0.97,0,0.6,5.68,1.01,6.41,0,0,0,22.97,0,13.69,0.66,0,2.37,0.43,0,0,0,0
120,0,10.55,14.31,0,4.16,0,6.49,1.38,0,0,4.61,0,0,7.44,0,0,15.11,0,2.52,0,0,0,0,0,0,0,0
