stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,372.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0
  5-6,25.96,323.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0
  7-9,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.71,5.22,0,0,32.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.69,0,0,0,21.2,0,0,15.37,0,0,0,0,0,0
 14-21,0,0,0,2.48,0.9,0,2.2,0,0,0,0,0,0,0,0,0,0,76.51,1.88,0,0,3.92,3.65,0,0,0,0,0,0,0,0.84,0,0,0,0,6.47
 24-34,0,0,0,1.51,0,0,0,0,0,0,0,1.88,0,0,0,0,0,33.29,4.02,0,0,0.77,18.8,0,0,0,0,0,4.67,0.91,5.43,0,0,0,0,5.24
 36-46,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,2.27,2.16,0,0,9.91,0,0,0,0,0,1.71,0.65,1.1,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,10.58,16.11,2.12,0,0,25.3,0,0,0,0,0,6.74,0,0.52,0,0,0,0,4.01
 60-70,0,0,0,0,0,0,7.99,0,0,0,0,14.84,0,0,0.86,0,0,39.46,10.17,2.9,0,0,5.67,0,0,0,0,0,0,1.15,0,0,0,0,0,0
 72-82,0,0,0.62,3.15,0,0,5.62,0,0,0,3.02,108.38,0,0,0,0,0,14.93,0.5,3.46,0,0.5,33.62,0,0.54,0,0,0,1.24,10.71,0,0.82,0,1.1,0.81,4.86
 84-94,0,0,0,1.17,0,0,0,0,0,0,0,352.91,0,0,0,1,0,0,1.11,1.46,0,0,52.19,0,0,0,0,0,4.06,22.48,0,0,0,0,0.68,0
 96-106,0,0,0,19.4,1.6,2.29,30.99,5.02,1.4,4.91,9.8,634.73,0,0.83,0,0,0,25.02,0,6.86,2.11,1.72,110.95,0,0,0.57,0,1.57,13.92,4.35,0.83,0,0,1.13,1.73,1.41
108-118,0,0,2.89,12.28,2.11,5.14,36.12,3.82,1.46,3.11,23.35,1114.42,5.88,1.43,0,9.79,1.77,0,1.78,24.95,0,1.4,111.35,0,4.31,1.16,0,0,13.34,15.85,0,6.48,2.45,6.02,0,0
120,0,0,0,8.37,15.46,1.71,54.45,0,0,0,21.11,1909.49,0,0,0,10.08,0,77.82,0,17.56,0,5.06,209.32,0,0,6.19,0,9.96,4.66,5.46,0,0,0,3.98,14.06,0
