stage,axial,blastomeres,endoderm,neural,pgc
  3-4,43.34,281.32,0,0,0
  5-6,21.51,147.5,0,0,0
  7-9,0,0,3.57,7.12,7.58
 10-12,0,0,0,13.02,0
