stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,hatching.gland,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,15.32,215.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.86,285.73,0,0,0,0,0,0,0,0,0,38.69,10.72,0,9.28,0,0,0,0
  7-9,62.59,3.94,26,0,0,0,0,0,28.15,0,0,170.86,6.67,0,274.71,0,0,0,0
 10-12,0,26.37,12.2,0,6.22,0,0,0,0,0,0,11.35,0,0,95.35,0,0,182.35,0
 14-21,0,0,0,0.88,71.94,0,1.17,0,0,0,1.45,2.98,0,0,0,0,3.22,0,3.7
 24-34,0,0,0,0,47.13,0,0,0,0,0,0,13.55,0,0,0,0,0,0,2.84
 36-46,0,0,0,0,16.3,0,0,0,0,0,0.65,12.39,0,0,0,0,0,0,3.84
 48-58,0,0,0,0,0,0,0,0,0,0,0.46,6.08,0,0,0,0,0,0,0.45
 60-70,0,0,0,0,1.22,0,11.79,0.81,0,0,0,4.75,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.79,0,0,0.52,0.8,1.8,0,0,0,0,0,0,0
 84-94,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.76,0,0,0,0,2.1,0,2.65,0,0,0,0,0
108-118,0,0,0,0,0,0,4.55,0,0,0,0,1.71,0,0,0,0,0,0,0
120,0,0,0,0,0,1.61,0,0,0,0,0,8.65,0,0,0,1.25,0,0,0
