stage,blastomeres,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,22.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,48.59,0,7.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.77,0,29.82,3.81,0,0,0
 14-21,0,0,0,0,0,0,1.04,0,0,7.94,0,0,0,0,0,0
 24-34,0,5.69,0,0,0,0,0.97,0,0,3.45,0,0,0,0.8,1.15,0
 36-46,0,21.03,0,0.72,0,0,3.61,0,0.65,20.85,0,0,0,0,6.68,0
 48-58,0,42.46,0,0,0,0,0.66,0,0,10.4,0,0,0,0,2.75,0
 60-70,0,57.92,0,1.55,0,0,1.4,0.6,0,6.66,0,0,0,0,2.76,0
 72-82,0,45.51,0,0,1.15,1.2,7.43,0,0,8.02,1.26,0,0,0,0,0.6
 84-94,0,40.3,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,24.18,0,0,0,0,0.63,0,0,4.12,0,0,0,0,0,0
108-118,0,28.98,0,0,0.73,0,0,0,0.56,1.76,1.51,0,0,0,0,0.79
120,0,21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
