stage,blastomeres,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm
  5-6,14.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.96,4.52,0
 10-12,0,0,0,0,0,0,0,0,5.54,0,0
 24-34,0,0,0,0,0,0,0,0,3.31,0,0.84
 36-46,0,0.57,0,0,0,0,0,0,7.49,0,0
 48-58,0,0.89,0,0,0,0,0,0,4.37,0,0
 60-70,0,0,1.74,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.79,0,0
 84-94,0,0,0,0,0.73,0,0.83,0.64,1.51,0,0
 96-106,0,1.22,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.56,0,0,0,0,0,0,1.77
120,0,0,0,0,0,1.69,0,0,0,0,1.22
