stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,180.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,111.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,12.33,0,14.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,30.58,0,6.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.93,0,0,0.98,0,0,5.28,0,0,0,1.08,0,0,0,0.81,16.08,0,0,0,2.3,0.97,0,3.51,32.37,0,0,0,0
 24-34,0,0,1.4,0,7.14,0,0,12.31,0,0,0,0,0,2.01,0,2.1,103.69,6.34,0,0,0,0.64,0.78,1.81,32.74,0,0,0,0
 36-46,0,0,0.83,0,13.95,0,0,36.61,0,0.99,0,0,0,1.51,0,0.84,69.05,4.4,0,0,0,1.96,0,0,71.75,0,0,0,3.49
 48-58,0,0,1.27,0,11.21,0,0.43,24.15,0,0,0,0,0,6.36,0,0,48.8,7.97,0,0,0,0,0,0,29.68,0,0,0.41,2.49
 60-70,0,0,0,0,12.22,0,0.72,28.42,0,0,0,0,0,12.27,0,0.74,33.73,7.58,0,0,0,0,0,0,18.89,0,0,0.9,0
 72-82,0,0,0.76,0,13.38,0,4.51,26.17,0,0,0,0,0,25.89,1.04,0,29.13,4.65,0,0,0,0,0,0,7.71,0,0.93,2.17,0
 84-94,0,0,0.64,0,9.21,0,0.69,21.97,0.81,0,2.6,0,0,19.95,0,0,22.88,6.16,0,0,0,1.59,0,0,1.94,0,0,0.59,0
 96-106,0,0,1.48,2.12,5.86,0,0,35.29,0,0.62,0,0.7,0,6.62,1.76,0,27.99,8.24,0,0,0,0,0,0,4.67,0,0,0,0
108-118,0,0,6.04,0,7.06,0.58,0,21.48,5.11,0,0,0,0.84,15.09,0.83,0.51,23.39,11.44,0,0,0,0,0,0,17.08,0.83,1.55,5.18,0
120,0,0,0,0,16.78,2.12,0,64.7,0,0,0,0,0,6.2,0,1.21,42.22,10.39,0,0,0,1.04,0,0,0,0,0,0,0
