stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.85,0,0.64,0,0,0,0
 36-46,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.98,0,5.4,0,5.81,0,0
 60-70,0,0,0.81,1.82,2.35,0,0,0.74,0,10.23,0,16.24,0,0,0,0.63
 72-82,0,0,3.69,0,1.54,0,0,4.77,0,9.66,0,56.6,0,0,0,0
 84-94,1.01,0,0,0,3.67,0,0,1.38,0,2.93,0,170.88,0,0.81,0,0
 96-106,14.62,0,2.56,0,3.89,1.54,0,9.07,0.71,4.04,13.74,236.41,0,0.59,5.73,0
108-118,1.1,0,1.39,1.64,10.16,0.46,0.49,7.22,0,3.42,0,206.88,0,0,1.33,0
120,1.72,0,0,0,0,0,0,12.31,0,4.53,0,157.26,0,0,0,12.09
