stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,49.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.08,2.21,0,2.73,0,0,0,7.29,0,0,0,2.72,0,2.7,3.98,0,0,0
 24-34,0,0.61,0,0.98,1.26,0,0,0,0,0,0.75,0,0,0,22.92,0,0,0,0,0,0,4.98,0,0,0
 36-46,0,0,0,0,3.46,0.63,1.19,0,0,0,0,0.63,0,0,6.84,0,0,2.46,0,0,0,3.65,0,0,0
 48-58,0,0,0,0,2.1,0,1.6,0,0,0,0,0.65,0,0,12.75,0,0,0,0,6.32,0,0,0,2.66,0
 60-70,0,0,0,0,1.53,0,3.98,0,0,0,0,0,0,1.58,14.49,1.67,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.2,0,0,2.15,0,3.48,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.63,0,5.8,0,0,0,0,0.94,1.03,0,0,0,6.51,0.56,0,1.97,0,0.56,0,0,0,0,0
 96-106,0,0,1.39,0,10.23,0,0,1.06,0,0,1.77,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.94,0,3,0,0,0,0,0,1.53,0,0,2.04,9.21,0.5,0,0,0,0,0,0,0.41,0,0
120,0,0,0,0,3.38,0,16.39,0,0,0,13.59,0,0,0,0,0,0,1.13,0,0,0,0,0,0,4.77
