stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19.35,0,0,0,0,0.92,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.82,0,0,0,0,0
 24-34,0,0,0.69,9.16,0,0,0,0,1.54,1.42,0,0,0,0,0.97,0,0,45.15,0,0,0,0,0,31.26,0,0,4.91,0,0
 36-46,0,0,3.2,0,0,0,0,1.84,0,1.06,0,0,0,0,0.97,0,0,176.61,0,0,0,1.17,0,13.47,0,0,1.59,0,0
 48-58,0,0,3.97,1.76,12.75,0,0,1.96,0,0,0,0,0,0,1.33,0,0.45,285.85,0.75,0,0,0,0,26.49,0,0,2.36,0,4.2
 60-70,0,0,0.81,0,88.96,0,0,1.15,0,0,0,0,0,0,2.06,0,0,801.76,0,0,0,0,0,33.89,0,0,2.5,0,3.85
 72-82,0,0,10.49,1.4,73.75,1.55,0,6.16,0,11.12,0,0,0,0,24.91,2.6,0,885.7,0,0.5,0,0,0,30.14,0,0,3.17,0,10.8
 84-94,0,0,3.17,5.37,49.3,0,0.78,5.42,0,0,2.39,1.05,0,0,10.86,0,0,669.65,0.91,0,0,1.2,0,36.2,0,1.15,1.58,0,0
 96-106,0,0,5.15,0,55.51,0,0,17.21,0,1.47,0,0,0,0,7.55,1.14,3.01,547.06,0,0,0,1.28,0,20.09,1.57,0,3.82,0,0
108-118,0,0,2.3,1.86,38,0,0,11.12,0,1.5,0,5.23,2.07,4.31,11.65,0,1.55,797.52,1.17,0.44,0,0,0,3.82,0,0,1.74,3.5,0
120,0,0,16.14,0,57.28,0,0,19.46,0,0,0,0,0,0,16.71,0,0,1205.15,2.28,1.86,4.48,1.7,1.63,13.76,0,0,0,0,0
