stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,periderm,vasculature
 14-21,0,2,0,0,0,0,0,0,0,0,0,1,0,1.31,2.45
 24-34,0,0,0,0,1.11,0,0,2.94,0,0,0,0,0.99,0,2.65
 36-46,1.48,0,0.74,8.12,0,0,0,0,0,0,0,0,0.98,0,3.61
 48-58,0,0,0.44,0,0.71,0.47,0,0,0,0,0,0,5.29,2.56,9.22
 60-70,0,0,0,0,0,0,0,0,1.65,0,0,0,1.11,3.25,0
 72-82,0,0,0,0,0,0.69,0,0,1.34,0,0,0,2.26,12.38,5.38
 84-94,1.8,0,0,0,0,1.5,0,0,0.85,0,0,0,0,7.62,3.08
 96-106,0,0,0,0,0,3.94,0.59,0,0,0,0.93,0,9.96,2.82,6.35
108-118,0.61,0,3.49,0,0,6.96,0,0,2.39,0,1.5,0,5.17,6.3,4.9
120,0,0,0,0,0,13.53,0,0,0,13.61,0,3.12,0,1.63,1.51
