stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,29.21,10.12,3.14,13.17,401.64,106.9,110.33,0,1.75,0,27.22,9.63,56523.84,1.78,14.26,13.42,0,0.92,19.5,2.26,100.32,0,0,66.02,1862.65,115.23,1.46,12.94,59.32,0,152.65,248.13,12.72,75.76,284.93,743.5,0,10.01,14.1
 24-34,0,0,0,9.46,232.07,31.07,321.53,3.76,9.66,3.15,71.37,4.9,24707.83,14.65,12.36,17.44,11.52,3.86,53.07,31.2,236.69,4.5,0,141.58,3646.65,62.11,35.02,23.92,0,2.91,281.85,0,14.96,80.85,50.44,644.21,0,201.74,27.72
 36-46,0,0,1.71,1.52,55.92,8.57,100.44,0,1.19,1.42,20.59,0.83,16883.53,3.94,7.02,5.8,0.94,0,23.55,8.21,199.34,2.89,1.42,14.81,1679.46,7.87,4.72,1.62,0,0,81.89,0,3.21,9.95,0,157.09,0,36.35,16.59
 48-58,0,0,0,0,25.5,1.26,179.51,2.18,8.43,2.36,36.66,0.39,22375.34,0.66,6.59,16.5,0,0.73,1.48,10.33,75.67,2.22,4.34,16.5,733.67,1.16,1.48,0.54,0,0,66.59,0,0,0,0,134.87,0.89,0.97,29.83
 60-70,0,0,0,0,14.6,0,92.51,0,11.08,0,18.32,0,3185.68,10.11,9.48,0,0,0.61,0,1.83,33.26,0,0,2.77,119.03,0,0,0.89,0,0,53.81,0,0,0,0,24,1.22,5.19,18.27
 72-82,0,0,0,0,0,0,9.31,0,0,0.75,0,0.72,685.97,0,0,0,0,0,0,0,4.83,0,0,0,18.97,0,0,0,0,0,3.2,0,0,0,0,2.85,0,2.04,0
 84-94,0,0,0,0,0,0,6,0,0,0,0,0,417.84,0,0,0,0,0,0,0,1.06,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.08,0,2.48,0,4.29,0,0,0,3.36,0,288.52,0,0.83,0,0,0,0,0,27.23,0,0,0,4.98,0,0,0.65,0,0,0.88,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.33,0,2.13,0,0,0,0,1.09,106.86,0,0,0,0,0,0,0,6.36,0,0,0,18.17,0,0,0,0,0,0,0,0.46,0,0,0,1.53,0,0
120,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.42,0,0,0,0,0,111.41,0,0,0,0,0,0,0,0
