stage,axial,blastomeres,eye,mesenchyme,neural,spinal_cord
  5-6,7.12,13.08,0,0,0,0
  7-9,0,0,0,0,5.71,0
 24-34,0,0,0,0,0.77,0
 48-58,0,0,1.25,1.22,0.87,0.49
120,0,0,0,4.01,1.4,0
