stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,21.49,7.11,9.53,1.14,0,179.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.92,0,0,0,0,0,0,6.11,0,0,0,0,0
 24-34,0,52.8,0,15.12,0,0,3652.79,0,0,0,4.93,0.64,0.62,0,3.63,0,2.78,2.12,3.98,12.73,0,0,4.31,334.33,1.59,2.9,0,16.56,7.22,1.68,31.21,0,0,4.06,0,0
 36-46,0,9.17,0,4.91,0,0,6426.35,0,0,0.58,8.41,0,1.59,0,1.59,0,0,6.28,4.94,33.12,0,0.55,2.9,369.76,5.95,3.14,2.24,11.22,0,0,85.11,0,0,10.16,0,16.67
 48-58,0,1.26,0,0.38,0,0,4185.33,0,11.31,0,22.11,2.4,0.58,0,7.14,0.85,0,0,2,33.18,0.95,0,2.36,224.78,1.95,0.39,0,5.31,0,0,59.47,0,0,1.59,0,6.62
 60-70,0,2.83,0,7.7,0,0,4495.47,0,1.28,4.26,5.18,2.42,0.76,0,0,8.93,0,0,0,8.54,0,0,0,140.48,0,0,3.63,6.26,0,0,17.58,0,0,0,0,0
 72-82,0,2.77,0,7.43,2.4,0,3335.58,0.75,2.13,1.16,7.86,0.56,2.04,0,0,2.56,0.71,0,0,30.88,1.05,0,1.73,76.83,0.52,0.88,1.54,8.53,0,0,7.51,0,1.57,2.14,1.78,0
 84-94,0,3.37,0,1.33,0.57,0,3451.5,0,0,3.34,3.97,4.02,0.8,0,0.94,7.05,0,1.67,8.01,19.62,0,0,0.71,79.75,0,0,0,4.59,0,0,8.42,5.09,0,0,0,6.14
 96-106,0,3.19,0,1.96,2.49,14.74,2198.96,0,0,0.62,3.01,2.81,0,0,0,0,0,2.98,0,34.65,0,10.96,9.84,53.87,0,0,9.73,14.01,0,0,1.51,3.43,0,5.19,3.88,0
108-118,0,4.68,0,6.7,5.46,0,2681.22,0,0,2.55,1.68,13.42,0,0,1.88,0,0.74,3.31,0,22.02,2.89,4.38,1.35,83.5,1.78,0,4.1,3.61,0,0,4.03,3.05,0.57,2.87,0,0
120,0,0,0,4.04,1.33,0,1966.01,0,0,0,20.39,4.01,6.72,3.21,0,0,1.07,0,0,28.33,0,0,2,66.74,0,0,0,0,0,0,0,5.08,0,0,0,0
