stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,otic,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,89.41,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.64,0,16.49,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.45,0,26.95,0,0,0
 14-21,0.9,0,0,0,0,0,0,0,0,0,84.48,0.85,0.96,0
 24-34,0,0,0,0,0,1.83,0,0.67,6.66,0,200.2,0,0,0
 36-46,0,0,2.07,0,2.26,0,0,0,5.06,0,237.82,0,0,1.45
 48-58,1.2,2.01,0,0.48,0,0,0,1.11,1.06,0,62.1,0,0.94,0
 60-70,9.94,0,0,0,0,0,0.77,0,0,0,85.89,0,0,0
 72-82,13.09,0,0,0,0,0,0,0,4.26,1.1,23.46,0,0,0
 84-94,29.36,0,2.04,0,1,1.24,0,17.2,1.88,0,88.45,0,0,0
 96-106,26.57,0,3.24,0,0.83,0.66,0,1.13,0,0,116.99,0,0,0
108-118,29.69,0,5.37,0,2.17,3.01,0,0.51,0,0,110.99,0,0,0
120,34.86,0,0,0,1.29,1.28,0,1.31,0,0,121.13,0,0,0
