stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,xanthophores
  3-4,30.49,89.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,4.07,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0.85,0.85,0,4.3,0,3.06,0.81,0,0,0,0.94,0,1.27,0
 24-34,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0.75,0,1.9,0,3.7,0,0,0,0,0,0,3.15,0
 36-46,0,0,0,0,0,0,19.88,0,0,0,0,1.47,0,0,0,0,0,0,59.34,0,0,0,0,0,0,0,0.88,3.2,1.41
 48-58,0,0,0,0,0,0,1.42,0,0.59,0,0,0.49,1.33,0,0,0,0,0.49,303.11,0,0,0,0,0.95,0,0,0,127.85,0
 60-70,0,0,0,0,0,0,6.41,0,1.04,0,0,0,0,0,0,0,2.87,0,560.06,0,0,0,0,0,0,0,0,192.84,0
 72-82,0,0,0,1.44,0,1.16,85.33,0,5.66,0,0.71,0,5.54,1.18,0,0,0.96,0,591.54,0,0,0,0,0,0,0,1.56,232.07,0
 84-94,0,0,0,0.69,0,0,172.72,2.3,6.48,0.97,1.88,0,6.71,0,15.38,0,1.36,0,708.88,0,0,0,0,0,2.7,0,1.18,258.56,0
 96-106,0,0,0,0,0,0,158.27,1.43,28.57,4.14,0,0.99,28.08,0,0,0,4.88,1.67,642.14,0,0.6,0,0,0,10.54,0,0,56.76,0
108-118,0,0,0,5,0,0,318.75,0,46.89,0,0,0.45,158.31,1.02,0,0,6.51,0,1052.99,0.44,2.46,0,0,0,3.14,0,0.91,125.15,0
120,0,0,0,0,3.56,0,266.82,0,4.84,0,0,2.43,129.16,0,0,0,0,0,1172.26,0,0,0,0,0,0,0,0,442.69,0
