stage,blastomeres,epidermis,erythrocytes,eye,gut,immune,mesenchyme,neural,otic,paraxial.mesoderm,periderm,vasculature,visceral.smooth.muscle
  5-6,35.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.3,0,16.39,0,0,0
 14-21,0,0,0,0,0,0,1.34,0,0,0,0,0,0
 24-34,0,0,0,0,0,5.75,0,2.81,0,0,0,2.21,0
 36-46,0,0,0,0.57,0,15.66,0,0.62,0,0,8.19,0,0
 48-58,0,0,0.4,0,0,7.4,0,0,0,0,0,1.57,0
 60-70,0,0,2.01,0,0,17.49,0,0,0,0,0,0.58,0
 72-82,0,0,1.35,0,0,10.02,0.57,0,0,0,0,7.77,1.45
 84-94,0,0,2.74,1.37,0,45.21,0,1.41,0,0,0,9.15,0
 96-106,0,0,2.17,0,0,20.23,0,0,0,0,0,0.59,0
108-118,0,0.85,1.48,0,0.7,17.78,0,3.1,0,0,0.56,4.57,0
120,0,0,2.86,0,0,33.29,0,5.66,1.02,0,0,1.72,0
