stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0
 14-21,0.84,0.81,0.86,0,0,0,1,0,0,0,0,0,0,13.43,0,0.83,0,2.07,1.77,2.42,0,0
 24-34,0,0,2.21,0,0,3.59,0,0,0,0.78,3.1,0,3.62,44.9,0,0,10.9,0,0,25.14,0,1.34
 36-46,0,0,5.74,0,0,3.8,0,0,0,0,2.21,0,0,29.39,0,0,5.56,0,0,11.45,0,0
 48-58,0,0,2.58,0,0.51,8.13,0,0,0,0,3.24,0,0.49,19.4,0,0,0.39,0,0,15.3,0,0
 60-70,0,0,15.87,0,0,4.92,0,0,0,0,1.81,0,0,24.82,0,0,0,0,0,6.16,0,0.79
 72-82,1.48,0,10.4,0,0,16.85,0,0,0.58,0,4.65,1.07,6.07,25.65,0,0,0,0,0,2.94,1.49,0
 84-94,0,0.81,16.99,0,0,18.98,0,0.97,0,0,0,0,0.91,12.79,0,0,8.2,0,0,3.95,0,0
 96-106,0,0.94,8.75,7.08,0,15.55,0,0,0.77,0,0,0,0,8.36,0,0,2.88,0,0,2.6,0,0
108-118,0,0,14.42,0,0,15.94,3.14,0,0,0,0.43,0,0.44,12.32,1.47,0,0,0,0,0.48,1.35,0
120,0,0,0,0,0,21.12,0,0,0,0,0,0,0,12.64,0,0,1.11,0,0,0,0,0
