stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.3,0,0,2.14,0,0,3.23,0,0,0,0,0,0,0,0,8.65,3.2,0,0,0.96,0,0,0.83,0.82,0,0,0
 24-34,0,19.49,0,0,6.27,0,2.55,2.7,0,0,0,0,0,0.76,0,0.6,17.33,0,1.7,2.33,0,5.21,0,0,4.73,0,0,0
 36-46,0,8.43,0,0,19.04,0,0,0,0,0,0,0,0,1.09,0,0,28.78,0,0,0,0,0,2.65,0,3.37,0,0,0
 48-58,0,0,0,0,21.87,0.54,0.68,1.28,0,0,0,0,0,0,0.39,6.89,65.07,0,0,0,0,0,1.34,0,0.96,0,0,0
 60-70,0,1.51,0,0,83.86,0,0.79,1.52,0,0,0,0,0,0.77,0.57,0,69.13,0,0,0,0,1.68,0.59,0,4.3,2.22,0,0
 72-82,0,2.34,0.49,0,79.62,0,3.53,6.08,0.6,0,0,0,0,10.7,0,0.92,106.11,0,0,0.84,0,0,3.33,0,10.5,0.61,0,0
 84-94,0,5.18,0,0,90.3,0,0,7.42,0,1.78,0.82,0,0,5.72,0,2.14,46.74,0,0,3.37,0,2,4.01,0,0,0.77,0,0
 96-106,0.95,7.46,0,0,98.8,0,1.97,7.81,0,1.07,0,0,0,9.56,0,0,67.66,0,0,0,0,3.38,0.78,0,0,0,3.61,0
108-118,0,14,1.18,0.56,84.48,0,1.14,11.22,0,2.42,0,1.46,4.19,10.77,0,0.72,53.06,0,0,0,0,1.39,3.14,0,0,0,0,4.4
120,0,7.98,4.98,0,62.05,0,0,4.71,0,13.31,0,0,0,3.16,0,2.53,97.65,0,0,0,0,1.03,0,0,0,12.95,0,0
