stage,epidermis,eye,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0.88
 24-34,0,0,3.47,0,0
 36-46,0,0,11.92,0,0
 48-58,0,3.23,19.18,0,5.75
 60-70,0,0.89,8.29,0,0
 72-82,0.88,5,9.92,0,0
 84-94,0,6.22,16.88,0,0
 96-106,0,17.52,3.75,0.59,0
108-118,0,2.89,4.23,0,0
120,0,7.6,48.06,0,0
