stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,29.31,143.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.89,0,0,0,0,0,0,0,0
  5-6,17.82,214.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0
  7-9,7.4,0,7.86,0,0,0,16.86,0,0,0,0,0,0,0,0,0,134.98,0,0,0,21.8,0,0,0,0,0,0,0,0,0
 10-12,0,9.81,15.51,0,5.53,0,14.64,0,0,0,0,0,0,0,0,0,185.87,0,0,0,27.58,0,0,0,8.04,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0.84,0,0,0,0.9,0,0,0,0,4.63,11.57,0,1.1,0,1.09,0,1.53,2.67,0,0,1.98,1.95,0,0
 24-34,0,0,0,0,0,0,0.9,0,0,0,0,0,4.34,0,0,0.9,29.45,0,0,0.67,0,0,0,0,2.22,0,1.33,9.5,0,0
 36-46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.4,16.54,0,0,0,0,0.75,0,0,0,0,0,6.25,0,0
 48-58,0,0,0,0,0,0,4.26,0,0.69,1.77,0,0,0.43,0,0.76,0.61,15.93,0.62,0,0,0,0,0,0,0,1.13,0,6.4,0,0
 60-70,0,0,0,0,0,0,6.38,0,0,0,0,0,4.21,0,0,0,6.55,0,0,0,0,0,0,0,0,0,0,9.74,0,0
 72-82,0,0,0,0,6.11,0,4.1,0,0,0,0,0,0.51,0,0,0.68,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0.76
 84-94,0,0,0,0,3.85,0,9.82,0,0,0,0,0,0,0.92,0,0.55,2.25,0.56,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.41,0,1.47,0,1.1,2.78,0,2.12,3.95,0.76,0,2.14,17.11,0,0,1.66,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.01,0,0.59,0,0,0.42,0,0,0,0,0,0,11.63,0,0,0,0,0,0,0,0,0,0,0.7,0,0
120,0,0,0,0,0,1.91,6.23,2.37,0,0,0,0,0,12.14,0,1.25,52.03,3.33,0,4.36,0,0,0,0,0,0,0,0,6.78,0
