stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.69,404.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.51,724.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,8.27,0,15.48,0,0,20.46,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,286.02,12.39,0,0,116.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.43,0,6.13,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.24,0,0,0,74.39,0,3.1,0,7.77,0,0,0,0,0
 14-21,0,0,0,6.7,20.62,2.89,8.89,2.08,0,5.76,0,0,0,0,0,0,0,0,0,11.73,0,0,6.98,209.11,3.15,0,0.86,2.43,0,1.5,25.32,0,25.24,56.78,1.12,0,0
 24-34,0,0,0,0,1.38,0,18.93,1.64,0,7.55,1.22,0,1.7,0,0.61,0,0,0,0,14.49,0,0,3.4,272.18,1.49,1.79,3.22,0,0,4.48,0,2.82,0,67.35,1.15,0,0
 36-46,0,0,0,0,15.06,0,46.77,0,0,19.24,0,0,0,0,0,0,0,0,0,25.18,0,0,3.93,290.48,1.14,2.18,0,0,0,1.29,0,1.81,0,66.56,0,0,0
 48-58,0,0,0,0,18.72,0,60.59,0.93,1.24,36.16,0,0,0,0,0,0,0,0,0,44.43,0,0.95,2.89,186.33,0,1.04,2.55,0,0,0,0,0,0,40.52,0.4,0,0
 60-70,0,0,0.57,0,1.02,0,75.45,5.74,0,21.49,6.3,0,0,4.92,0,0,1.57,0,0,42.98,0,0.65,0.68,140.88,0,0.75,0,0,0,5.04,0,0,0,18.13,0,0,0
 72-82,0,0,0.61,0,6.31,0.55,33.96,0,1.59,11.34,0,0,0,2.66,0,0,0,0,0,34.37,0,0.55,2.36,109.16,0,0,0.66,0,3.03,3.01,0,0,0,10.83,0,0,0
 84-94,0,0,0,0,3.89,0,27.53,0,0.65,7.86,0,0,0,0,2.67,0,0,0,0,17.01,0,5.61,6.84,55.51,0,0,0,0,0,5.87,0,0,0,5.04,1.19,1.44,1.57
 96-106,0,0,0,0,2.05,3.93,22.3,0,0,5.75,0,0,0,0,0,0,0,0.86,0,10.69,0.97,0,0.57,71.33,0,2.22,1.36,0,0,1.76,0,0,0,0,0,0,0
108-118,0,0,0,0,2.6,1.3,15.2,0.53,0.6,7.53,0.47,0,0.89,0.46,2.32,0.98,0,0,1.75,18.3,0,0.69,2.42,86.99,0,4.51,1.06,0,0,8.11,0,3.45,0,4.21,0,0,0
120,0,0,0,0,7.76,0,18.17,0,0,7.89,0,0,5.73,0,5.05,0,0,0,0,26.9,0,0,0,81.8,0,0,8.03,0,0,4.2,0,0,0,0,5.63,0,2.59
