stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,326.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74,0,0,0,0,0,0,0
  5-6,18,272.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0
  7-9,0,9.33,3.36,0,0,0,33.8,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,198.75,3.62,0,0,123.75,0,0,0,0,0,0,0,0
 10-12,0,4.62,41.66,0,0,0,48.55,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,212.01,0,0,0,144.54,0,0,7.85,0,0,0,0,0
 14-21,0,0,1.1,7.85,2.99,0,4.25,0,0,4.19,0,0,0,0,0,0.87,0,0,0,0,0,0,1.94,25.59,1.86,0,0,0,0,2.92,1,3.04,18.87,0,0,0
 24-34,0,0,0,0,0,0,3.1,0,0,2.37,0,0,0,0,0.99,0,0,0,0,5.88,0,0,1.76,91.51,0,0.99,0,0,3.52,0,0,1.35,25.95,0,2.13,0
 36-46,0,0,0,1.62,0,0,8.62,0,0,0.63,0,0,0,0,0,0,0.61,0,0.86,1.98,0,1.12,1.25,108.99,1.06,0.79,5.29,0,3.14,0,0,0,26.44,0,0.81,0
 48-58,0,0,0,0.41,0,0,16.88,0,3.49,0.42,0,0,0,0.42,5.51,0,0.41,0,0.43,20.49,0,0,0,120.59,0,0,0,0,0,0,0,0,13.44,0,0.74,0
 60-70,0,0,0,0,0,0,30.19,0,0,2.78,0,0,0.93,0,0,0,0,0,9.89,11.1,0,0,1.91,104.82,0,0,0,0,1.94,0,0,0,20.12,0,0,0
 72-82,0,0,0,0,2.58,0,21.67,0,0,9.56,0,0,0,0,0,0,0,0,0,13.9,0,0,0.54,59.36,0,0,0,0,0.75,0,0,0,14.32,0,2.15,0
 84-94,0,0,0,0,5.78,0,37.77,0,0,5.06,0,0,0,1.99,0,0,0,0,0,11.35,0,0,4.97,35.41,1.94,0.8,2.22,0,1.31,0,0.74,0,3.7,0,8.53,0
 96-106,0,0,0,0,9.52,0,20.67,0,4.57,7.21,1.05,0,0,0,0,0,0,0,0,9.43,0,0,3.8,38.88,0,0,0,0,4.47,0,0,0,4.93,0,0,1.06
108-118,0,0,0,4.43,1.98,0.49,34.8,0,0,3.52,0.43,0,0,0,0.58,1.32,0.53,0.97,0,19.95,0.71,0,2.26,73.24,0,1.54,1.37,0,0.67,0,0,0,1.72,1.17,3.44,0
120,0,0,0,14.12,19.7,0,47.54,1.75,0,18.94,0,0,0,0,0,0,2.12,0,0,12.32,1.49,0,2.74,38.7,0,0,0,0,27.76,0,0,0,11.49,0,2.63,0
