stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3,0,0,0,14.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,259.91,21.33,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630.96,0,0,0,45.79,0,0,3.96,18.2,0,0,19.47,0,0,0,0,0
 14-21,0,0,2.02,12.24,0.81,0,163.08,0,0,0,1.33,0,0,10.01,0,0,134.87,32.61,0,0,2.34,683.67,0,0,371.3,3.29,1.2,0,3.55,0.81,0.82,2.71,290.61,0,0,0,0,109.92
 24-34,0,0,0,14.22,0,0,60.24,0,0,0,0,0,0,27.03,0.72,0,245.47,62.19,0,0,12.57,393.26,1.71,0.71,356.5,0,2.02,0,0,0.68,0,1.99,46.21,0,0,0.64,0,307.46
 36-46,0,0,0,0,0,0,41.24,0,0,0,54.29,0,0,33.27,0,0,133.07,47.44,0,0,2.24,335.21,5.95,2.27,230.07,0,0.69,0,0,2.11,0.64,0,29.96,0,0,0,0,262.02
 48-58,1.73,0,0,0.8,1.99,0,66.91,0,0,0,218.19,0,0,79.42,0,0.96,140.39,215.23,0,0,3.05,423.18,0.56,6.1,262.15,0,0,0,0,0,0,0,20.84,0,0,0.43,0,238.88
 60-70,0,0,0,6.86,0,0,125.24,0,3.68,1.14,397.76,0,0,118.01,0,0,76.38,400.31,0,0,2.41,327.09,0,0,206.81,0,0,0,0,0,0,0,7.42,0,0,0,0,170.94
 72-82,0,0,0,9.8,0,0,54.44,0,0,0,508.98,5.23,0.61,72.15,0.65,3.3,42.8,353.35,0,0,0,304.07,0,0.7,197.76,0,3.32,0.56,0,0,0,0,4.65,2.52,0.94,0,0,160.89
 84-94,0,0,0,1.81,0.64,0,70.91,0,0,0,316.29,0,0,70.69,0,0,90.47,290.68,0,4.97,2.88,245.15,0,0,230.41,0,0.59,0,0,0,0,0,2,1.01,0,0.92,4.32,130.26
 96-106,0,0,0,4.8,3.27,0.92,79.27,0,0.57,0,497.08,0,0.65,44.68,0,0,29.84,178.51,0,1.82,0,205.96,0,0,203.02,0,6.51,0,0,0,0,0,0,1.9,0,0,0,129.01
108-118,0,0,0,5.97,0.49,4.79,70.49,0.67,0.42,0,491.03,0,1.3,88.11,0.43,0,42.05,174.12,2.3,0,2.89,225.14,0.43,0,277.35,0,0,0,0,0,0,0,0,0,4.41,0.59,0,127.05
120,1.12,0,0,6.79,10.56,0,36.76,0,3.08,0,849.07,0,0,130.07,1.34,13.95,32.32,212.06,0,0,0,311.03,0,8.55,254.81,0,28.82,0,0,0,0,0,0,0,0,11.22,0,136.29
