stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0
  7-9,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,0,0
 24-34,0,0,1.16,0,1.73,0,0,0,0,0,0,4.03,0,0,0,4.13,0.62,0,0,74.21,0,0,1.52,0,0,0
 36-46,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,177.94,0.56,0,1.88,0,0,0
 48-58,1.63,0,2.37,0,4.07,0,0,0,0,0,0,0,0,0,4.73,6.19,0,0,0,181.17,0,0,7.4,0,2.2,0
 60-70,5.96,0.65,8.46,0,5.61,0,0,0,0.86,0,0,0.98,0.58,0,1.45,10.54,0,0,0,247.01,0,0,1.83,0,0,0
 72-82,23.23,0,6.11,0,5.64,1,0,0,0.56,0,0,1.03,0,8.66,0.68,8.39,0,0,0.61,255.72,0,7.38,0,1.21,0,0
 84-94,38.79,2.16,0.56,0,17.14,0,0,0,9.26,0,0,2.11,0.76,0,0,2.13,0,0,0,426.16,0,0,1.28,1.79,0,0
 96-106,103.39,0,15.82,1.64,30.55,7.16,1.38,0,21.89,1.8,0,3.8,9.91,7.22,0,43.89,0,6.59,3.45,1359.84,0,0,6.14,13.2,6.39,10.93
108-118,149.14,0,13.33,0,77.79,1.62,0.64,0.59,67.04,0.69,1.57,8.47,15.69,0,2.04,32.34,0,0,0,1669.42,0,0,0,33.47,0.45,0
120,50.89,0,8.2,0,33.71,0,0,0,28.35,0,0,3.98,3.8,0,0,7.65,3.88,0,0,779.83,0,0,0,19.98,0,0
