stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,57.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,36.39,0,0,8.55,0,0,0,0,0,0
 10-12,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,3.47,0,0,0,0,0,0,0,0
 24-34,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,3.16,39.27,0,0,0,20.98,1.85,0,0,0
 36-46,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,6.61,70.46,0,0,0,22.79,0,0,0,0
 48-58,0,1.56,0,0,0,6.48,0,0,0,0,0,0,0,0,3.67,63.08,0,0,0,29.9,1.21,0,0,0
 60-70,0,10.72,0,0,0,0.58,0,0,0,4.32,0,0,1.62,0,26.13,62.88,0,0,0,26.91,0,0,0,0
 72-82,0,18.89,0,0.49,0.74,4.23,0,0,0,5.9,0,0,1.03,0,38.45,65.52,0.51,0,1.13,5.47,0,1.16,0,0
 84-94,0,18.19,2.75,0,0,10.74,0,1.13,0.96,17.86,0,0,2.22,0,16.77,92.07,0,0,0,13.8,0,0,0,0
 96-106,0,27.28,10.29,3.28,0,0.72,1.04,0,2.74,12.13,0,0,0,0,25.4,110.89,0.57,0,2.69,7.1,0,0,0.93,0.8
108-118,0,19.57,5.91,0,0,0.61,0,0,4.67,8.99,0,2.23,2.81,1.52,45.24,87.15,1.45,0,0,11.26,0,2,0,0
120,0,13.72,9.52,0,0,0,0,0,0,12.83,0,0,2.42,0,91.36,57.34,0,0,0,72.13,0,0,0,0
