stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.09,3.12,30.24,22.13,0,0,0,0,0,0,1.05,3.73,0,1.69,0,0,0,0.88,165.19,0,0,103.2,40.91,34.89,6.54,0,0,0,0,5.39,0,0.95,27.97,17.57,0,0,22.87,0,0
 24-34,0,0,10.04,2.37,12.45,1.63,0,0,0,0,0,2,0,12.7,5.61,2.81,0,1.97,0,0,339.49,0,0,176.5,104.14,0.7,99.2,0,0,3.82,0.8,0,0,0.69,3.47,35.98,0,0,124.86,0,0
 36-46,0,0,0,0,20.3,0,0,10.31,5.11,5.14,9.11,0,0,16.49,7.89,3.28,0,4.54,0,0,887.79,0,5.97,282.83,199.13,0,146.52,1.46,0,0,0,1.82,0,0,0,33.37,0,0.85,92.67,0,0
 48-58,0.58,0,1.06,0,19.54,0,0,11.83,2.75,12.09,25.66,0.82,0,9.45,41.98,1.57,5.04,3.88,1.02,0,1020.41,0,15.21,208.03,286.33,0,63.75,14.4,0,1.53,1.65,0,0,0,0,54.31,0,1.01,90.49,0,0
 60-70,0.81,0,2.13,0,29.65,10.43,0,35.82,1.27,31.43,85.52,7.27,2.33,9.85,26.26,29.95,0,8.38,8.76,9.95,2770.37,0,19.65,296.88,565.67,0.8,95.22,12.22,0.81,7.5,0,0,1.87,2.94,0,84.43,0,30.81,249.93,11.37,0
 72-82,0,0,11.98,0,23.28,9.88,3.54,133.38,3.88,9.49,115.97,19.28,15.98,29.84,36.62,14.94,0.64,9.48,0,0,2858.59,1.79,53.21,225.75,489.38,0,143.23,27.34,0,8.04,3.06,0,0,0.49,0,73.14,1.75,31.73,408.53,31.25,0
 84-94,0,0,5.75,0,57.45,0,5.46,173.43,6.37,21.9,109.32,18.94,17.97,32.52,35.52,29.66,0,8.37,14.53,0.58,2880.35,0,60.57,277.49,356.48,1.95,153.25,21.79,0,11.52,3.1,0,2.8,0,0,44.32,1.17,55.14,404.36,27.22,0
 96-106,0,0,12.57,0,100.17,7.83,4.08,105.7,15.87,52.78,108.83,35.46,17.36,61.89,53.33,42.27,0.77,8.7,0.76,0.63,3149.28,7.21,89.93,326.55,538.17,2.05,291.56,41.27,10.66,36.29,11.47,0,7.78,1.3,0,49.77,3.17,45.27,457.42,55.01,0.8
108-118,0.66,0,12.02,0,118.01,0,16.64,117.06,23.88,69.17,114.02,30.57,14.1,48.05,29.62,38.37,2.95,8.64,1.13,0,4516.99,0.43,84.38,316.35,559.44,2.69,185.89,34.09,0,80.7,3.02,0,2,1.64,0,37.72,0.67,50.59,489.4,55.77,4.35
120,0,0,10.73,0,66.31,4.71,10.53,77,20.28,36.01,70.13,5.37,22.69,36.16,20.97,31.59,0,1.84,18.38,0,2562.29,1.56,63.35,206.02,345.92,6.55,119.53,12.12,0,58.95,28.72,1.12,3.65,6.71,0,43.03,1.81,42.52,362.13,112.24,0
