stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,390.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,0,0,0,22.96,0,3.49,0,0,0,0,0,0,0,0
 14-21,0,0,11.32,13.25,0,0.96,2.69,0,0,2.66,0,2.15,0,0,0,0,0,0,0,3.64,23.33,0,0,0,0,0,0,0,1.9,17.34,0,2.75,6.67,0,0,17.71,0,0
 24-34,0,1.54,4.43,3.65,0,1.36,5.6,0,0.89,1.34,0,15.85,0,0.77,4.84,0,13.33,0,0,4.18,39.89,0.67,0.77,1.33,0,0,57.23,0,0,24.77,0,0,16.04,0,0,107.35,0,0
 36-46,0,0,1.97,0,0,0.66,7.47,0,0,0,0.56,1.96,0,0,1.38,0,16.09,0,0,14.15,20.45,0.57,2.3,0.76,0,0,39.4,0,0,15.03,0,0,3.47,0,0.62,113.66,0,0
 48-58,0,0,1.76,3.17,0,4.07,9.05,3.87,5.68,0.49,0,8.59,0,0,5.88,1.3,17.08,0,0,0.62,30.24,0,1.32,8.42,0,0.45,15.43,0,0,15.72,0,0,4.54,0,0,78.76,0,0
 60-70,0,0,7.08,0,0,17.07,10.18,0,30.76,0,1.77,3.73,0,0,6.4,0,24.52,0.73,0,2.69,15.14,0,0,11.63,0,0,23.5,0,0,10.36,0,0,9.54,0,0,109.31,0,0
 72-82,0,0,1.06,0.73,0,10.21,2.34,2.72,34.07,0,0.5,9.96,0,0,2.55,1.08,45.9,1.31,0,0.94,27.32,0,0,6.64,0,0,26.87,0,0,6.94,0,0,4.51,0,0.9,161.3,1.82,0
 84-94,0,0,6.15,0,0,32.98,13.85,4.15,27.16,3.17,0,13.67,0,1.33,5.46,1.7,63.2,0.91,0,0.85,18.91,0,3.71,12.01,0,0,60.95,0,0,22.05,0,0,2.87,0.62,0,167.29,2.45,0
 96-106,0,0,9.45,0,0,24.22,3.74,5.52,28.2,2.65,0,8.37,0.62,1.37,7.15,1.45,49.25,0,0,2.18,29.1,0,7,12.29,0,0,52.19,0,0,5.68,0,0,0,0,2.93,188.33,0.93,7.37
108-118,0,0,8.11,6.09,0.5,45.15,2.66,1.44,59.67,1.52,0,3.9,0,4.11,4.04,0.63,60.43,1.71,0,3.94,30.34,0,5.45,11.81,0,0,31.34,0,0,9.84,0.44,0,1.1,0,0,157.25,4.45,0
120,0,0,14.94,9.25,0,21.26,9.84,0,135.52,2.21,0,18.88,0,1.63,3.25,12.89,44.87,1.1,14.27,0,46.68,0,11.49,12.69,0,0,46.53,0,0,15.5,0,0,1.81,0,0,239.13,0,0
