stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,periderm,pronephros,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,1.07,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.35,0,1.73,0,1.54,0,0
 36-46,0,0,1.87,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 48-58,1.74,0,0,0,0,0.7,0,0,0,0,1.24,0,0.51,0,0.71,0,0
 60-70,0,0,6.03,0,0.6,0,0,0,0,0,0,0,1.58,1.95,0,0,0
 72-82,1.07,0,1.03,0,0.8,0,0,0,0,0,10.43,0,0,0,0,0,0
 84-94,0,0,0.62,0,2.11,0,0,0.62,1.25,0,5.06,0,6.96,0,0,0,0
 96-106,0.74,0,8.11,2.14,0,0,0.93,0,0,0.73,12.37,0,15.35,0,0,0,1.58
108-118,0.56,6.08,5.6,0.46,1.74,0,0,1.16,0,0,3.71,1.77,7.6,0,0,0.83,0
120,1.95,0,0,0,0,6.94,0,0,0,0,0,0,8.14,0,0,0,0
