stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,381.24,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,0,0
  5-6,33.08,418.79,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0
  7-9,13.98,11.86,5.08,0,20.89,0,0,0,0,0,260.5,4.03,0,56.93,0,0,0,0
 10-12,0,0,19.81,0,12.94,0,0,0,0,0,107.76,0,0,67.23,0,0,5.88,0
 14-21,0,0,0,2.83,0,0,0,0,0,0.87,3.34,0,0,0,0.96,0.94,1.97,0
 24-34,0,0,0,0,0.72,0.75,0,0,1.74,1.7,8.92,0,0,0,0,0,2.71,0
 36-46,0,0,0,0,1.24,0,0,0,0,0,2.66,0,0,0,0,0,4.54,0
 48-58,0,0,0,0,0.9,1.39,0,0,1.85,0,13.73,0,0,0,0,0,0.65,0
 60-70,0,0,0,0,0,1.17,0,0,0,0,0,0,0.69,0,0,0,0,0
 72-82,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.6,0,0,7.45,0,0,0,0,0,0,2.09
108-118,0,0,0,0,0,0,0,0,0,0.67,0.79,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.04,0,3.31,0,0,0,0,0,0,0,0,0
