stage,mesenchyme,neural,olfactory
 24-34,0,0,3.78
 36-46,0,1.01,33.25
 48-58,0,0.56,27.67
 60-70,0,0,36.8
 72-82,0.51,5.59,75.93
 84-94,0,0,82.89
 96-106,0,0,113.21
108-118,0,0,72.21
120,7.12,0,187.89
