stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,145.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.3,278.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.02,6.22,0,14.74,0,0,41.48,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,239.86,4.14,0,0,71.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.59,6.2,0,45.42,0,0,30.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.39,13.23,0,0,179.01,0,0,11.11,0,24.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.77,17.88,7.25,7.68,0,0,4.59,1.08,0.81,0,0,0,0,0,0,1.13,18.62,0,0,12.16,88.11,0.81,0,2.94,4.38,0,1.29,2.13,16.4,0,1.32,7.25,52.25,0,0,0,0,0
 24-34,0,0,0.6,0,9.58,0,10.96,0,0.62,3.4,0.67,0,1.47,0,0,0,0.66,0,0,16.92,0,1.66,10.84,203.06,0,0,0.98,0,0,3.04,0,1.03,0.6,0.99,0.6,48.72,0,0,0,0,1.18
 36-46,0,0,0,0,0,0,31.18,0,0.88,16.02,0,0,0.71,0,0,0,0,0,0,23.87,0,0.7,9.71,144.49,0,0,1.34,0,0,3.76,0,0,0,4.05,0,45.74,0,0,1.42,0,3.89
 48-58,0,0,0,0,3.13,0,33.01,0,0,16.31,0,0,0,0,0,0,0,0,0,11.33,0,0,1.43,89.12,0,0.59,0,0,0,3.77,0,0,0,0,0,43.51,0,0,1.49,0,0
 60-70,0,0,0.57,0,7.71,1.83,61.78,0,0,29.63,0.65,9.59,0.76,0,0,0,0.7,0,0,31.21,0,1.2,10.85,122.35,0,0,0.62,0,2.16,5.21,0,0,0,0,0,43.75,0,0,4.49,0,2.19
 72-82,0,0,0.61,0,4.22,6.66,73.63,0,0.7,29.62,0,0,0,0.5,0,0,2.24,0,6.69,54.52,0,1.28,1.25,122.55,0,0,1.04,0,0,0.77,0,0,0,0,0,39.89,0,0,2.31,0.53,0
 84-94,0,0,0,0,2.81,3.93,67.7,8.09,0,46.49,0,0,1.45,1.63,11.39,0,0,0,0,56.19,0,2.03,0,121.7,4.23,3.4,5.1,0,1.66,10.23,0,0,1.52,0,0,31.7,0,0,1.64,0,2.06
 96-106,0,0,0,0,8.57,12.13,40.5,1.54,1.8,52.57,0.7,0,1.98,2.14,0,0,4.42,2.27,1.03,54.28,1.22,2.84,11.15,88.71,0,6.89,5.6,0,2.56,7.44,0,0,0,0,0,19.49,2.19,1.27,4.62,2.3,1.13
108-118,0,0,0,0,10.02,6.37,90.97,1.9,2.83,36.19,2.61,0,0.56,6.38,0,4.51,2.27,4.93,0.51,62.7,0,3,5.89,167.82,0,0,0,0,1.59,2.58,0,0,0.67,0,0,10.59,0.6,4.76,0.68,4.58,0
120,0,0,0,0,20.37,2.38,68.11,0,2.1,56.95,0,0,2.18,5.09,0,0,2.96,2.78,0,59.82,0,1.26,19.9,191.12,2.06,2.34,22.59,0,0,4.67,2.5,0,0,0,0,19.92,0,0,15.6,0,0
